代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
601456,国联民生,证券,20250102,13.39,20250103,12.2,300,-361.8,-8.89%,1,Rank 3.82%,"Rank 3.82%, Score 0.0280, BULL",BEAR Hard stop (-8.9%),BEAR Hard stop (-8.9%),BEAR,csi300
601360,三六零,互联网,20250102,10.3,20250106,9.38,500,-466.1,-8.93%,4,Rank 1.91%,"Rank 1.91%, Score 0.0410, BULL",BEAR Hard stop (-8.9%),BEAR Hard stop (-8.9%),BEAR,csi300
002180,纳思达,IT设备,20250102,28.07,20250106,25.66,100,-244.3,-8.59%,4,Rank 4.46%,"Rank 4.46%, Score 0.0264, BULL",BEAR Hard stop (-8.6%),BEAR Hard stop (-8.6%),BEAR,csi300
000963,华东医药,化学制药,20250102,34.68,20250108,31.6,100,-312.1,-8.88%,6,Rank 3.50%,"Rank 3.50%, Score 0.0292, BULL",BEAR Hard stop (-8.9%),BEAR Hard stop (-8.9%),BEAR,csi300
688303,大全能源,电气设备,20250102,24.15,20250110,22.06,200,-423.7,-8.65%,8,Rank 1.59%,"Rank 1.59%, Score 0.0425, BULL",BEAR Hard stop (-8.7%),BEAR Hard stop (-8.7%),BEAR,csi300
001289,龙源电力,新型电力,20250102,15.72,20250113,14.37,300,-410.6,-8.59%,11,Rank 0.64%,"Rank 0.64%, Score 0.4598, BULL",BEAR Hard stop (-8.6%),BEAR Hard stop (-8.6%),BEAR,csi300
300418,昆仑万维,互联网,20250102,38.47,20250113,34.21,100,-430.4,-11.07%,11,Rank 2.87%,"Rank 2.87%, Score 0.0324, BULL",BEAR Hard stop (-11.1%),BEAR Hard stop (-11.1%),BEAR,csi300
603833,欧派家居,家居用品,20250106,66.89,20250114,62.16,200,-962.2,-7.07%,8,Rank 1.59%,"Rank 1.59%, Score 0.0357, BEAR",BEAR trailing stop (8.3%),BEAR trailing stop (8.3%),BEAR,csi300
688303,大全能源,电气设备,20250110,22.06,20250122,20.49,800,-1277.3,-7.12%,12,Rank 1.27%,"Rank 1.27%, Score 0.0482, BEAR",BEAR trailing stop (15.3%),BEAR trailing stop (15.3%),BEAR,csi300
601360,三六零,互联网,20250106,9.38,20250218,12.4,2100,6308.1,32.20%,43,Rank 0.95%,"Rank 0.95%, Score 0.0590, BEAR",BEAR trailing stop (9.5%),BEAR trailing stop (9.5%),BEAR,csi300
