代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
002195,岩山科技,软件服务,20230113,2.83,20230118,2.5,100,-1000.4,-11.66%,5,Rank 0.18%,"Rank 0.18%, Score 0.0833, BULL",BULL Hard stop (-11.7%),BULL Hard stop (-11.7%),BULL,csi500
002373,千方科技,软件服务,20230104,9.36,20230130,10.2,100,339.5,8.97%,26,Rank 0.88%,"Rank 0.88%, Score 0.0241, BULL",BULL rank exit (43.0%),BULL rank exit (43.0%),BULL,csi500
600361,创新新材,铝,20230104,6.05,20230130,5.9,100,-86.5,-2.48%,26,Rank 4.93%,"Rank 4.93%, Score 0.0173, BULL",BULL rank exit (79.9%),BULL rank exit (79.9%),BULL,csi500
601666,平煤股份,煤炭开采,20230105,10.35,20230130,11.5,200,678.5,11.11%,25,Rank 1.06%,"Rank 1.06%, Score 0.0256, BULL",BULL rank exit (42.8%),BULL rank exit (42.8%),BULL,csi500
002624,完美世界,互联网,20230105,13.25,20230130,14.38,100,380.1,8.53%,25,Rank 3.52%,"Rank 3.52%, Score 0.0197, BULL",BULL rank exit (51.2%),BULL rank exit (51.2%),BULL,csi500
000921,海信家电,家用电器,20230106,16.25,20230130,17.31,200,293.6,6.52%,24,Rank 2.46%,"Rank 2.46%, Score 0.0221, BULL",BULL rank exit (93.8%),BULL rank exit (93.8%),BULL,csi500
688234,天岳先进,半导体,20230109,78.85,20230130,86.38,100,741.8,9.55%,21,Rank 0.53%,"Rank 0.53%, Score 0.0313, BULL",BULL rank exit (99.6%),BULL rank exit (99.6%),BULL,csi500
300558,贝达药业,化学制药,20230111,57.0,20230130,63.1,100,613.2,10.70%,19,Rank 1.05%,"Rank 1.05%, Score 0.0253, BULL",BULL rank exit (59.5%),BULL rank exit (59.5%),BULL,csi500
688578,艾力斯,化学制药,20230104,20.44,20230131,23.22,200,550.0,13.60%,27,Rank 4.40%,"Rank 4.40%, Score 0.0176, BULL",BULL rank exit (46.5%),BULL rank exit (46.5%),BULL,csi500
300570,太辰光,通信设备,20230105,15.38,20230131,15.75,100,69.2,2.41%,26,Rank 4.58%,"Rank 4.58%, Score 0.0190, BULL",BULL rank exit (37.3%),BULL rank exit (37.3%),BULL,csi500
600021,上海电力,火力发电,20230109,10.6,20230131,9.79,300,-551.9,-7.64%,22,Rank 4.05%,"Rank 4.05%, Score 0.0185, BULL",BULL rank exit (57.4%),BULL rank exit (57.4%),BULL,csi500
688192,迪哲医药-U,生物制药,20230112,43.08,20230131,50.0,100,685.5,16.06%,19,Rank 4.22%,"Rank 4.22%, Score 0.0203, BULL",BULL rank exit (55.3%),BULL rank exit (55.3%),BULL,csi500
603556,海兴电力,电器仪表,20230106,18.4,20230201,18.75,200,97.9,1.90%,26,Rank 4.23%,"Rank 4.23%, Score 0.0195, BULL",BULL rank exit (39.4%),BULL rank exit (39.4%),BULL,csi500
688266,泽璟制药-U,生物制药,20230113,45.97,20230201,48.17,200,427.5,4.79%,19,Rank 1.23%,"Rank 1.23%, Score 0.0279, BULL",BULL rank exit (37.3%),BULL rank exit (37.3%),BULL,csi500
600312,平高电气,电气设备,20230106,8.41,20230202,8.69,100,178.2,3.33%,27,Rank 1.06%,"Rank 1.06%, Score 0.0265, BULL",BULL rank exit (42.3%),BULL rank exit (42.3%),BULL,csi500
688331,荣昌生物,生物制药,20230112,80.29,20230206,92.44,100,1203.0,15.13%,25,Rank 1.41%,"Rank 1.41%, Score 0.0252, BULL",BULL rank exit (63.4%),BULL rank exit (63.4%),BULL,csi500
601168,西部矿业,铜,20230113,11.04,20230208,11.48,600,297.9,3.99%,26,Rank 2.12%,"Rank 2.12%, Score 0.0229, BULL",BULL rank exit (37.1%),BULL rank exit (37.1%),BULL,csi500
688213,思特威-W,半导体,20230113,43.84,20230208,47.2,100,329.9,7.66%,26,Rank 3.88%,"Rank 3.88%, Score 0.0186, BULL",BULL rank exit (69.1%),BULL rank exit (69.1%),BULL,csi500
002670,国盛证券,证券,20230130,9.74,20230217,8.84,200,-425.3,-9.24%,18,Rank 4.58%,"Rank 4.58%, Score 0.0192, BULL",BULL rank exit (56.8%),BULL rank exit (56.8%),BULL,csi500
002465,海格通信,通信设备,20230105,8.53,20230220,9.19,100,450.3,7.74%,46,Rank 3.35%,"Rank 3.35%, Score 0.0197, BULL",BULL rank exit (51.8%),BULL rank exit (51.8%),BULL,csi500
002773,康弘药业,化学制药,20230131,17.67,20230220,17.7,100,1.4,0.17%,20,Rank 2.46%,"Rank 2.46%, Score 0.0252, BULL",BULL rank exit (49.6%),BULL rank exit (49.6%),BULL,csi500
688578,艾力斯,化学制药,20230201,22.89,20230220,23.11,200,38.0,0.96%,19,Rank 1.94%,"Rank 1.94%, Score 0.0251, BULL",BULL rank exit (56.0%),BULL rank exit (56.0%),BULL,csi500
688728,格科微,半导体,20230201,18.88,20230220,17.98,200,-184.7,-4.77%,19,Rank 2.64%,"Rank 2.64%, Score 0.0235, BULL",BULL rank exit (90.7%),BULL rank exit (90.7%),BULL,csi500
002583,海能达,通信设备,20230106,5.4,20230221,5.92,200,577.2,9.63%,46,Rank 3.35%,"Rank 3.35%, Score 0.0203, BULL",BULL rank exit (36.5%),BULL rank exit (36.5%),BULL,csi500
688002,睿创微纳,通信设备,20230131,43.87,20230221,45.16,100,123.8,2.94%,21,Rank 3.70%,"Rank 3.70%, Score 0.0234, BULL",BULL rank exit (40.4%),BULL rank exit (40.4%),BULL,csi500
688521,芯原股份,半导体,20230201,55.0,20230221,62.38,100,729.9,13.42%,20,Rank 0.18%,"Rank 0.18%, Score 0.0343, BULL",BULL rank exit (56.8%),BULL rank exit (56.8%),BULL,csi500
603228,景旺电子,元器件,20230202,22.4,20230221,23.71,100,268.7,5.85%,19,Rank 4.06%,"Rank 4.06%, Score 0.0221, BULL",BULL rank exit (43.2%),BULL rank exit (43.2%),BULL,csi500
002429,兆驰股份,家用电器,20230203,4.01,20230221,4.52,100,451.6,12.72%,18,Rank 3.87%,"Rank 3.87%, Score 0.0245, BULL",BULL rank exit (68.6%),BULL rank exit (68.6%),BULL,csi500
600707,彩虹股份,元器件,20230203,4.59,20230221,5.05,500,515.3,10.02%,18,Rank 4.58%,"Rank 4.58%, Score 0.0230, BULL",BULL rank exit (78.6%),BULL rank exit (78.6%),BULL,csi500
603298,杭叉集团,工程机械,20230206,20.09,20230301,21.25,100,181.0,5.77%,23,Rank 3.35%,"Rank 3.35%, Score 0.0202, BULL",BULL rank exit (39.8%),BULL rank exit (39.8%),BULL,csi500
002603,以岭药业,中成药,20230208,29.1,20230303,30.08,100,376.7,3.37%,23,Rank 0.35%,"Rank 0.35%, Score 0.0777, BULL",BULL rank exit (70.9%),BULL rank exit (70.9%),BULL,csi500
688331,荣昌生物,生物制药,20230217,78.95,20230307,76.86,200,-438.0,-2.65%,18,Rank 0.18%,"Rank 0.18%, Score 0.0400, BULL",BULL rank exit (82.1%),BULL rank exit (82.1%),BULL,csi500
688322,奥比中光-UW,元器件,20230106,23.23,20230308,27.58,300,1294.2,18.73%,61,Rank 0.88%,"Rank 0.88%, Score 0.0266, BULL",BULL trailing stop (22.3%),BULL trailing stop (22.3%),BULL,csi500
300803,指南针,软件服务,20230106,47.6,20230308,48.7,100,104.0,2.31%,61,Rank 2.82%,"Rank 2.82%, Score 0.0216, BULL",BULL trailing stop (19.7%),BULL trailing stop (19.7%),BULL,csi500
301308,江波龙,半导体,20230206,68.92,20230308,62.15,100,-691.0,-9.82%,30,Rank 1.76%,"Rank 1.76%, Score 0.0246, BULL",BULL trailing stop (18.1%),BULL trailing stop (18.1%),BULL,csi500
002558,巨人网络,互联网,20230220,10.15,20230313,10.22,100,24.4,0.69%,21,Rank 2.11%,"Rank 2.11%, Score 0.0265, BULL",BULL rank exit (39.1%),BULL rank exit (39.1%),BULL,csi500
000921,海信家电,家用电器,20230223,19.41,20230313,17.68,200,-496.1,-8.91%,18,Rank 4.55%,"Rank 4.55%, Score 0.0147, BULL",BULL rank exit (40.6%),BULL rank exit (40.6%),BULL,csi500
002126,银轮股份,汽车配件,20230111,14.55,20230315,13.17,100,-782.5,-9.48%,63,Rank 2.81%,"Rank 2.81%, Score 0.0214, BULL",BULL trailing stop (19.2%),BULL trailing stop (19.2%),BULL,csi500
300476,胜宏科技,元器件,20230206,14.65,20230317,15.5,100,401.3,5.80%,39,Rank 2.64%,"Rank 2.64%, Score 0.0226, BULL",BULL trailing stop (18.4%),BULL trailing stop (18.4%),BULL,csi500
601928,凤凰传媒,出版业,20230227,8.67,20230317,9.55,400,486.0,10.15%,18,Rank 3.33%,"Rank 3.33%, Score 0.0147, BULL",BULL rank exit (36.6%),BULL rank exit (36.6%),BULL,csi500
600528,中铁工业,运输设备,20230302,8.95,20230320,10.23,100,587.1,14.30%,18,Rank 3.15%,"Rank 3.15%, Score 0.0159, BULL",BULL rank exit (72.2%),BULL rank exit (72.2%),BULL,csi500
688153,唯捷创芯,半导体,20230221,50.5,20230321,56.54,100,596.6,11.96%,28,Rank 1.75%,"Rank 1.75%, Score 0.0243, BULL",BULL rank exit (49.5%),BULL rank exit (49.5%),BULL,csi500
601000,唐山港,港口,20230303,3.05,20230322,3.2,200,181.2,4.92%,19,Rank 4.38%,"Rank 4.38%, Score 0.0142, BULL",BULL rank exit (37.6%),BULL rank exit (37.6%),BULL,csi500
601965,中国汽研,汽车服务,20230105,18.68,20230323,22.15,100,617.9,18.58%,77,Rank 1.58%,"Rank 1.58%, Score 0.0233, BULL",BEAR trailing stop (14.8%),BEAR trailing stop (14.8%),BEAR,csi500
301236,软通动力,软件服务,20230110,39.6,20230323,34.3,100,-812.0,-13.38%,72,Rank 1.58%,"Rank 1.58%, Score 0.0234, BULL",BEAR Hard stop (-13.4%),BEAR Hard stop (-13.4%),BEAR,csi500
300972,万辰集团,食品,20230206,12.85,20230323,29.44,400,6728.6,129.11%,45,Rank 3.52%,"Rank 3.52%, Score 0.0201, BULL",BEAR trailing stop (10.8%),BEAR trailing stop (10.8%),BEAR,csi500
601858,中国科传,出版业,20230221,14.75,20230323,15.02,200,55.7,1.83%,30,Rank 3.68%,"Rank 3.68%, Score 0.0196, BULL",BEAR rank exit (38.3%),BEAR rank exit (38.3%),BEAR,csi500
688278,特宝生物,生物制药,20230301,44.1,20230323,43.25,100,-91.2,-1.93%,22,Rank 4.20%,"Rank 4.20%, Score 0.0140, BULL",BEAR rank exit (68.2%),BEAR rank exit (68.2%),BEAR,csi500
600642,申能股份,火力发电,20230303,5.88,20230323,5.96,100,73.2,1.36%,20,Rank 2.98%,"Rank 2.98%, Score 0.0167, BULL",BEAR rank exit (35.7%),BEAR rank exit (35.7%),BEAR,csi500
688322,奥比中光-UW,元器件,20230308,27.58,20230323,32.11,200,897.7,16.42%,15,Rank 0.18%,"Rank 0.18%, Score 0.0429, BULL",BEAR rank exit (79.7%),BEAR rank exit (79.7%),BEAR,csi500
