date,portfolio_value,cash,positions,market_regime,cum_return,max_drawdown
2026-01-05,200000.0,177597.8453692,5,BULL,0.0,0.0
2026-01-06,200445.5893692,145125.73935901,12,BULL,0.0022279468460000285,0.0
2026-01-07,201453.77445901005,123335.02160426002,16,BULL,0.007268872295050244,0.0
2026-01-08,203365.56910426,79830.25558871002,23,BULL,0.01682784552130001,0.0
2026-01-09,208767.65378870995,53415.52754691001,26,BULL,0.043838268943549696,0.0
2026-01-12,213983.42474691002,26378.859679120014,30,BULL,0.06991712373455017,0.0
2026-01-13,211706.93837912002,26378.859679120014,30,BULL,0.05853469189560001,-0.011382431838950158
2026-01-14,213938.10357911995,26378.859679120014,30,BULL,0.06969051789559977,-0.00022660583895039998
2026-01-15,211989.13887912003,26378.859679120014,30,BULL,0.05994569439560005,-0.009971429338950122
2026-01-16,206850.60207751996,21806.065918340013,30,BULL,0.03425301038759976,-0.03566411334695041
2026-01-19,207439.71611834003,21806.065918340013,30,BULL,0.037198580591700114,-0.032718543142850054
2026-01-20,204222.91995269002,12740.591211890016,30,BULL,0.021114599763450093,-0.048802523971100076
2026-01-21,206989.21591188997,12740.591211890016,30,BULL,0.03494607955944984,-0.03497104417510033
2026-01-22,209997.50381189,12740.591211890016,30,BULL,0.04998751905945009,-0.019929604675100077
2026-01-23,218048.70061211,16159.074441510016,30,BULL,0.09024350306054996,0.0
2026-01-26,213672.36825482003,18605.03385068002,29,BULL,0.06836184127410005,-0.021881661786449902
2026-01-27,214453.17224522,18808.98913290002,29,BULL,0.07226586122610001,-0.017977641834449942
2026-01-28,211924.22983290002,2531.830249740018,30,BULL,0.05962114916450001,-0.030622353896049948
2026-01-29,214691.82247134,28380.105093340022,27,BULL,0.07345911235670011,-0.01678439070384985
2026-01-30,211753.57191331,43495.726270810024,25,BULL,0.05876785956654995,-0.031475643494000005
2026-02-02,210081.25253525007,66665.00889123001,21,BULL,0.05040626267625026,-0.0398372403842997
2026-02-03,214187.64079123002,51333.596046790015,24,BULL,0.07093820395615014,-0.01930529910439982
2026-02-04,212537.19274678998,43990.63298559001,25,BULL,0.06268596373394986,-0.0275575393266001
2026-02-05,211376.87262477004,29385.625788670015,27,BULL,0.05688436312385026,-0.0333591399366997
2026-02-06,216208.75318867,29385.625788670015,27,BULL,0.08104376594335005,-0.009199737117199902
2026-02-09,216875.59128857002,25993.090265010018,27,BULL,0.08437795644285018,-0.0058655466176997795
2026-02-10,216094.81874360004,34732.42700520002,26,BULL,0.08047409371800018,-0.009769409342549773
2026-02-11,214485.90130519998,27631.319711920023,27,BULL,0.07242950652599989,-0.01781399653455007
2026-02-12,212589.94782472006,26719.35940392002,27,BULL,0.06294973912360025,-0.02729376393694971
2026-02-13,212820.38906246997,76631.73069111,21,BULL,0.06410194531234992,-0.02614155774820004
2026-02-24,213857.22692961007,93314.13068529002,19,BULL,0.06928613464805045,-0.02095736841249951
2026-02-25,216043.09348528998,80314.01462013001,21,BULL,0.08021546742644992,-0.010028035634100041
2026-02-26,214295.00169392998,80636.90683113002,21,BULL,0.07147500846964983,-0.01876849459090013
2026-02-27,218203.41632492997,81438.40362793002,21,BULL,0.09101708162464983,0.0
2026-03-02,218585.35733392998,73218.08860403004,22,BULL,0.09292678666964993,0.0
2026-03-03,209878.26254805,87168.03696705001,20,BULL,0.049391312740250104,-0.043535473929399826
2026-03-04,214200.58885505,87627.65035255002,20,BULL,0.07100294427525,-0.02192384239439993
2026-03-05,211278.82362345,75032.35861275003,22,BULL,0.056394118117250036,-0.036532668552399894
2026-03-06,211938.2381732301,71773.67317323004,22,BULL,0.05969119086615038,-0.03323559580349955
2026-03-09,213846.99077563002,66656.11271837004,23,BULL,0.06923495387815004,-0.02369183279149989
2026-03-10,214742.91740550002,56015.76253426006,25,BULL,0.0737145870275,-0.01921219964214993
2026-03-11,212870.99603426005,34064.36709066007,28,BULL,0.06435498017130037,-0.02857180649834956
2026-03-12,212029.56536186012,20375.786701060068,29,BULL,0.06014782680930053,-0.0327789598603494
2026-03-13,208683.71720106006,2056.8991830100713,30,BULL,0.04341858600530024,-0.04950820066434969
2026-03-16,209816.90686365007,5350.455618410073,30,BULL,0.04908453431825044,-0.04384225235139949
2026-03-17,207695.95628561007,17544.99530081008,28,BULL,0.03847978142805042,-0.05444700524159951
2026-03-18,205717.81763962007,74419.77813962007,18,BEAR,0.028589088198100354,-0.06433769847154958
2026-03-19,204266.04528482002,129450.34128482007,10,BEAR,0.021330226424100207,-0.07159656024554972
