代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
601106,中国一重,工程机械,20260107,4.09,20260119,4.83,1300,961.5,18.09%,12,Rank 4.86%,"Rank 4.86%, Score 0.0334, BULL",BULL trailing stop (25.0%),BULL trailing stop (25.0%),BULL,csi500
603882,金域医学,医疗保健,20260107,30.18,20260121,32.05,100,202.2,6.20%,14,Rank 2.68%,"Rank 2.68%, Score 0.0390, BULL",BULL trailing stop (18.1%),BULL trailing stop (18.1%),BULL,csi500
000783,长江证券,证券,20260107,8.85,20260126,8.66,100,-128.2,-2.15%,19,Rank 3.02%,"Rank 3.02%, Score 0.0375, BULL",BULL rank exit (45.5%),BULL rank exit (45.5%),BULL,csi500
301301,川宁生物,化学制药,20260107,10.76,20260126,11.42,500,337.4,6.13%,19,Rank 3.85%,"Rank 3.85%, Score 0.0344, BULL",BULL rank exit (55.7%),BULL rank exit (55.7%),BULL,csi500
688336,三生国健,生物制药,20260108,63.53,20260126,58.62,100,-501.4,-7.73%,18,Rank 0.50%,"Rank 0.50%, Score 0.0907, BULL",BULL rank exit (70.9%),BULL rank exit (70.9%),BULL,csi500
601666,平煤股份,煤炭开采,20260108,8.49,20260126,8.28,200,-167.8,-2.47%,18,Rank 1.17%,"Rank 1.17%, Score 0.0566, BULL",BULL rank exit (52.5%),BULL rank exit (52.5%),BULL,csi500
300601,康泰生物,生物制药,20260106,15.4,20260127,16.99,100,394.9,10.32%,21,Rank 1.84%,"Rank 1.84%, Score 0.0707, BULL",BULL rank exit (54.6%),BULL rank exit (54.6%),BULL,csi500
000723,美锦能源,焦炭加工,20260107,4.92,20260127,4.95,100,16.1,0.61%,20,Rank 4.69%,"Rank 4.69%, Score 0.0337, BULL",BULL rank exit (58.5%),BULL rank exit (58.5%),BULL,csi500
688276,百克生物,生物制药,20260109,20.23,20260127,21.43,300,357.3,5.93%,18,Rank 4.02%,"Rank 4.02%, Score 0.0239, BULL",BULL rank exit (57.8%),BULL rank exit (57.8%),BULL,csi500
601933,永辉超市,超市连锁,20260109,4.94,20260127,4.5,100,-408.8,-8.91%,18,Rank 4.52%,"Rank 4.52%, Score 0.0217, BULL",BULL rank exit (54.5%),BULL rank exit (54.5%),BULL,csi500
600208,衢州发展,全国地产,20260109,4.05,20260127,3.98,200,-105.4,-1.73%,18,Rank 4.86%,"Rank 4.86%, Score 0.0201, BULL",BULL rank exit (40.3%),BULL rank exit (40.3%),BULL,csi500
688180,君实生物-U,生物制药,20260106,36.44,20260128,40.0,100,350.8,9.77%,22,Rank 1.68%,"Rank 1.68%, Score 0.0750, BULL",BULL rank exit (80.7%),BULL rank exit (80.7%),BULL,csi500
