代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
000750,国海证券,证券,20200103,5.27,20200121,4.88,100,68.0,1.26%,18,Rank 1.48%,"Rank 1.48%, Score 0.0199, BULL",BULL rank exit (69.4%),BULL rank exit (69.4%),BULL,csi500
600258,首旅酒店,酒店餐饮,20200103,20.51,20200121,18.01,100,-619.0,-12.19%,18,Rank 2.11%,"Rank 2.11%, Score 0.0173, BULL",BULL Hard stop (-12.2%),BULL Hard stop (-12.2%),BULL,csi500
603712,七一二,通信设备,20200103,25.3,20200121,26.24,200,181.8,3.72%,18,Rank 2.74%,"Rank 2.74%, Score 0.0165, BULL",BULL rank exit (37.6%),BULL rank exit (37.6%),BULL,csi500
600909,华安证券,证券,20200103,7.25,20200121,7.32,600,37.3,0.97%,18,Rank 3.16%,"Rank 3.16%, Score 0.0148, BULL",BULL rank exit (70.7%),BULL rank exit (70.7%),BULL,csi500
601108,财通证券,证券,20200103,11.19,20200122,11.2,500,-2.3,0.09%,19,Rank 1.69%,"Rank 1.69%, Score 0.0181, BULL",BULL rank exit (56.8%),BULL rank exit (56.8%),BULL,csi500
000009,中国宝安,电气设备,20200103,6.66,20200123,6.58,100,-78.4,-1.20%,20,Rank 0.63%,"Rank 0.63%, Score 0.0341, BULL",BULL rank exit (82.9%),BULL rank exit (82.9%),BULL,csi500
601099,太平洋,证券,20200103,3.79,20200123,3.63,500,-234.8,-4.22%,20,Rank 2.53%,"Rank 2.53%, Score 0.0165, BULL",BULL rank exit (48.4%),BULL rank exit (48.4%),BULL,csi500
601212,白银有色,铜,20200107,3.84,20200123,3.35,1700,-843.5,-12.76%,16,Rank 4.65%,"Rank 4.65%, Score 0.0145, BULL",BULL Hard stop (-12.8%),BULL Hard stop (-12.8%),BULL,csi500
600546,山煤国际,煤炭开采,20200106,7.51,20200203,8.3,100,631.4,10.52%,28,Rank 1.48%,"Rank 1.48%, Score 0.0227, BULL",BULL trailing stop (23.3%),BULL trailing stop (23.3%),BULL,csi500
600988,赤峰黄金,黄金,20200106,5.6,20200203,5.35,200,-280.5,-4.46%,28,Rank 1.69%,"Rank 1.69%, Score 0.0211, BULL",BULL rank exit (93.7%),BULL rank exit (93.7%),BULL,csi500
