date,portfolio_value,cash,positions,market_regime,cum_return,max_drawdown
2025-01-02,200000.0,154511.97088396,10,BULL,0.0,0.0
2025-01-03,198272.89468395998,154511.97088396,10,BEAR,-0.00863552658020006,-0.00863552658020006
2025-01-06,198352.54188395996,154511.97088396,10,BEAR,-0.008237290580200174,-0.008237290580200174
2025-01-07,199388.90188396003,154511.97088396,10,BEAR,-0.0030554905801998267,-0.0030554905801998267
2025-01-08,199620.54408395995,154511.97088396,10,BEAR,-0.0018972795802002507,-0.0018972795802002507
2025-01-09,199486.93576055998,157784.72876055998,9,BEAR,-0.002565321197200099,-0.002565321197200099
2025-01-10,196798.614614,160543.01224379998,6,BEAR,-0.016006926930000054,-0.016006926930000054
2025-01-13,197577.8218278,153409.27221439997,6,BEAR,-0.012110890860999923,-0.012110890860999923
2025-01-14,201130.64021439996,153409.27221439997,6,BEAR,0.005653201071999847,0.0
2025-01-15,201267.5532144,153409.27221439997,6,BEAR,0.006337766071999873,0.0
2025-01-16,201846.86721439997,153409.27221439997,6,BEAR,0.00923433607199975,0.0
2025-01-17,201910.9082144,153409.27221439997,6,BEAR,0.009554541071999934,0.0
2025-01-20,204666.84911439993,153409.27221439997,6,BEAR,0.02333424557199959,0.0
2025-01-21,206377.30721439997,153409.27221439997,6,BEAR,0.03188653607199998,0.0
2025-01-22,207896.7162144,153409.27221439997,6,BEAR,0.03948358107200001,0.0
2025-01-23,206656.5172144,153409.27221439997,6,BEAR,0.033282586072000075,-0.006200994999999931
2025-01-24,209383.25621439997,153409.27221439997,6,BEAR,0.046916281071999855,0.0
2025-01-27,208664.66923759997,153307.0604081,6,BEAR,0.04332334618799982,-0.003592934884000032
2025-02-05,208878.2554081,153307.0604081,6,BEAR,0.044391277040499943,-0.002525004031499911
2025-02-06,215373.59695409998,145705.52901079998,6,BEAR,0.07686798477049983,0.0
2025-02-07,217523.02091079997,145705.52901079998,6,BEAR,0.0876151045539999,0.0
2025-02-10,218288.62231079998,145705.52901079998,6,BEAR,0.09144311155399998,0.0
2025-02-11,219897.78441079997,145705.52901079998,6,BEAR,0.09948892205399984,0.0
2025-02-12,223291.1018108,145705.52901079998,6,BEAR,0.11645550905400004,0.0
2025-02-13,217538.31642899997,147581.71665604998,6,BEAR,0.08769158214499995,-0.028763926909000093
2025-02-14,219219.92345604993,141905.77223404997,6,BEAR,0.09609961728024974,-0.0203558917737503
2025-02-17,221393.54893404996,141905.77223404997,6,BEAR,0.10696774467024972,-0.009487764383750319
2025-02-18,218182.44898044996,135518.71977279996,6,BEAR,0.0909122449022497,-0.025543264151750344
2025-02-19,223662.51757279996,135518.71977279996,6,BEAR,0.1183125878639999,0.0
2025-02-20,224646.28457279995,135518.71977279996,6,BEAR,0.12323142286399968,0.0
2025-02-21,226822.37519979995,134358.82616099998,6,BEAR,0.13411187599899965,0.0
2025-02-24,223969.16626099998,134358.82616099998,6,BEAR,0.11984583130499993,-0.014266044693999724
2025-02-25,224661.66646099996,134358.82616099998,6,BEAR,0.12330833230499971,-0.01080354369399994
2025-02-26,224787.376661,120236.75981169999,9,BULL,0.12393688330499986,-0.010174992693999796
2025-02-27,225951.32931169998,111463.7587007,11,BULL,0.12975664655849983,-0.004355229440499819
2025-02-28,221030.71275446998,115001.07357719,12,BULL,0.10515356377234997,-0.028958312226649685
2025-03-03,219718.47407719,103573.43231299001,14,BULL,0.09859237038595015,-0.03551950561304951
2025-03-04,221485.03455309,87428.67853189001,17,BULL,0.10742517276545005,-0.026686703233549602
2025-03-05,225964.45253188998,75215.98922391002,19,BULL,0.12982226265944985,-0.004289613339549803
2025-03-06,230648.13962391,71447.59904591001,20,BULL,0.15324069811955,0.0
2025-03-07,228508.02674591003,60937.19687091001,22,BULL,0.1425401337295502,-0.010700564389999778
2025-03-10,224290.19390001,64535.33962227,23,BULL,0.12145096950005008,-0.03178972861949991
2025-03-11,233752.55762227002,48730.17439474,26,BULL,0.16876278811135004,0.0
2025-03-12,230904.07079474002,19828.50319375,30,BULL,0.15452035397370012,-0.014242434137649918
2025-03-13,227098.07491725,23326.0717735,30,BULL,0.1354903745862499,-0.03327241352510013
2025-03-14,232992.76057350007,23326.0717735,30,BULL,0.16496380286750045,-0.003798985243849584
2025-03-17,235526.20657350007,23326.0717735,30,BULL,0.17763103286750037,0.0
2025-03-18,239458.48577350003,23326.0717735,30,BULL,0.1972924288675002,0.0
2025-03-19,240028.15713309997,13839.83589525,30,BULL,0.20014078566549975,0.0
2025-03-20,239695.79524824998,8191.642688250002,30,BULL,0.19847897624125,-0.0016618094242497605
2025-03-21,234300.72950075002,5693.417168750004,30,BULL,0.17150364750375013,-0.02863713816174962
2025-03-24,238999.96784315005,8024.597855150003,29,BULL,0.19499983921575015,-0.005140946449749606
2025-03-25,228014.18737115007,25288.76004275,28,BULL,0.14007093685575023,-0.060069848809749526
2025-03-26,231348.35822747,29435.03574287,28,BULL,0.15674179113734987,-0.04339899452814988
2025-03-27,232707.50702027002,20477.310203069996,29,BULL,0.16353753510135016,-0.03660325056414959
2025-03-28,229397.91431718992,24613.557897190003,28,BULL,0.1469895715859495,-0.05315121407955026
2025-03-31,231509.18129719,18672.681255190004,29,BULL,0.1575459064859499,-0.04259487917954985
2025-04-01,229606.71455819,12483.613232790003,30,BULL,0.14803357279095009,-0.05210721287454967
2025-04-02,229288.60962350995,2857.571537910004,30,BULL,0.14644304811754982,-0.05369773754794993
2025-04-03,211932.10759337002,39461.79894787001,27,BULL,0.05966053796685,-0.14048024769864975
2025-04-07,205625.90030582002,59573.355237719996,29,BULL,0.0281295015291001,-0.17201128413639966
2025-04-08,205137.56768307998,30977.51955387999,30,BULL,0.02568783841539979,-0.17445294725009997
2025-04-09,219464.53695388,30977.51955387999,30,BULL,0.09732268476939998,-0.10281810089609977
2025-04-10,220603.70437067994,22100.676318759986,30,BULL,0.10301852185339966,-0.0971222638121001
2025-04-11,227962.15011876,29391.18631875999,29,BEAR,0.1398107505938,-0.06033003507169976
2025-04-14,226901.29257976,35584.15497975999,28,BEAR,0.13450646289879997,-0.06563432276669978
2025-04-15,226237.21773573995,51307.18383573999,24,BEAR,0.13118608867869974,-0.06895469698680001
2025-04-16,221345.26994634,96213.56754634,18,BEAR,0.10672634973169992,-0.09341443593379983
2025-04-17,220372.22221913002,114477.04581913,16,BEAR,0.10186111109565021,-0.09827967456984954
2025-04-18,219521.32210393,134511.67090393,14,BEAR,0.09760661051965003,-0.10253417514584973
2025-04-21,222345.76345512999,145059.51685513,12,BEAR,0.11172881727564987,-0.08841196838984988
2025-04-22,221950.05510913,156636.86670913,10,BEAR,0.10975027554564987,-0.09039051011984989
2025-04-23,221988.86186103,162325.49886103,9,BEAR,0.10994430930514998,-0.09019647636034978
2025-04-24,222466.31530287,181928.56490286998,6,BEAR,0.11233157651435,-0.08780920915114976
2025-04-25,223079.52910286997,170860.56265007,6,BEAR,0.11539764551434994,-0.08474314015114981
2025-04-28,224114.13585007002,170860.56265007,6,BEAR,0.12057067925035003,-0.07957010641514972
2025-04-29,224876.96765006997,170860.56265007,6,BEAR,0.12438483825034985,-0.0757559474151499
2025-04-30,225716.41145006998,170860.56265007,6,BEAR,0.12858205725035,-0.07155872841514976
2025-05-06,227771.01665006997,170860.56265007,6,BEAR,0.1388550832503499,-0.061285702415149856
2025-05-07,226103.88125007003,162662.18035007,6,BEAR,0.13051940625035008,-0.06962137941514968
2025-05-08,226632.20435007,162662.18035007,6,BEAR,0.13316102175035005,-0.0669797639151497
2025-05-09,225991.89335007002,162662.18035007,6,BEAR,0.12995946675035008,-0.07018131891514967
2025-05-12,227758.83595007,162662.18035007,6,BEAR,0.13879417975035002,-0.06134660591514973
2025-05-13,227052.01655006997,162662.18035007,6,BEAR,0.13526008275034984,-0.06488070291514991
2025-05-14,226725.19315007,162662.18035007,6,BEAR,0.13362596575035002,-0.06651481991514974
2025-05-15,224606.16422487,152868.99152935,6,BEAR,0.12303082112435004,-0.07710996454114971
2025-05-16,223794.94432935002,152868.99152935,6,BEAR,0.11897472164675005,-0.0811660640187497
2025-05-19,223105.11802934998,148063.65252935002,6,BEAR,0.11552559014674979,-0.08461519551874996
2025-05-20,223539.03672935002,148063.65252935002,6,BEAR,0.11769518364675013,-0.08244560201874962
2025-05-21,222770.76072935003,148063.65252935002,6,BEAR,0.11385380364675024,-0.08628698201874951
