代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
000818,航锦科技,化工原料,20250103,17.49,20250110,15.59,100,-403.6,-10.86%,7,Rank 3.87%,"Rank 3.87%, Score 0.0246, BULL",BEAR Hard stop (-10.9%),BEAR Hard stop (-10.9%),BEAR,csi500
688709,成都华微,半导体,20250103,29.06,20250113,26.16,200,-589.7,-9.98%,10,Rank 2.19%,"Rank 2.19%, Score 0.0337, BULL",BEAR rank exit (25.4%),BEAR rank exit (25.4%),BEAR,csi500
000785,居然智家,百货,20250103,3.72,20250113,3.43,200,-427.5,-7.80%,10,Rank 3.20%,"Rank 3.20%, Score 0.0285, BULL",BEAR trailing stop (17.9%),BEAR trailing stop (17.9%),BEAR,csi500
002670,国盛证券,证券,20250103,13.28,20250113,11.71,100,-369.8,-11.82%,10,Rank 3.70%,"Rank 3.70%, Score 0.0246, BULL",BEAR Hard stop (-11.8%),BEAR Hard stop (-11.8%),BEAR,csi500
603341,龙旗科技,通信设备,20250103,44.2,20250113,38.4,100,-592.0,-13.12%,10,Rank 4.88%,"Rank 4.88%, Score 0.0226, BULL",BEAR Hard stop (-13.1%),BEAR Hard stop (-13.1%),BEAR,csi500
688676,金盘科技,电气设备,20250103,38.8,20250114,39.33,100,49.8,1.37%,11,Rank 2.86%,"Rank 2.86%, Score 0.0294, BULL",BEAR rank exit (23.9%),BEAR rank exit (23.9%),BEAR,csi500
002583,海能达,通信设备,20250113,12.49,20250205,11.96,200,-614.6,-4.24%,23,Rank 0.34%,"Rank 0.34%, Score 0.0482, BEAR",BEAR trailing stop (14.1%),BEAR trailing stop (14.1%),BEAR,csi500
002607,中公教育,文教休闲,20250103,3.34,20250207,3.42,200,124.6,2.40%,35,Rank 3.54%,"Rank 3.54%, Score 0.0261, BULL",BEAR rank exit (24.7%),BEAR rank exit (24.7%),BEAR,csi500
300718,长盛轴承,机械基件,20250114,32.6,20250214,63.2,100,10499.1,93.87%,31,Rank 0.17%,"Rank 0.17%, Score 0.0584, BEAR",BEAR trailing stop (10.8%),BEAR trailing stop (10.8%),BEAR,csi500
300432,富临精工,汽车配件,20250205,16.65,20250214,16.9,100,185.6,1.50%,9,Rank 0.67%,"Rank 0.67%, Score 0.0299, BEAR",BEAR trailing stop (11.5%),BEAR trailing stop (11.5%),BEAR,csi500
688220,翱捷科技-U,半导体,20250103,51.58,20250217,71.91,100,2023.7,39.41%,45,Rank 4.55%,"Rank 4.55%, Score 0.0237, BULL",BEAR trailing stop (11.2%),BEAR trailing stop (11.2%),BEAR,csi500
600126,杭钢股份,普钢,20250103,4.73,20250219,10.18,200,6471.9,115.22%,47,Rank 1.85%,"Rank 1.85%, Score 0.0338, BULL",BEAR trailing stop (11.6%),BEAR trailing stop (11.6%),BEAR,csi500
600580,卧龙电驱,电气设备,20250214,24.55,20250224,28.28,100,2772.7,15.19%,10,Rank 0.34%,"Rank 0.34%, Score 0.0834, BEAR",BEAR rank exit (83.7%),BEAR rank exit (83.7%),BEAR,csi500
002851,麦格米特,电气设备,20250207,56.7,20250303,50.87,100,-1375.7,-10.28%,24,Rank 1.18%,"Rank 1.18%, Score 0.0375, BEAR",BULL Hard stop (-10.3%),BULL Hard stop (-10.3%),BULL,csi500
688183,生益电子,元器件,20250228,31.7,20250305,27.39,100,-459.3,-13.60%,5,Rank 3.70%,"Rank 3.70%, Score 0.0181, BULL",BULL Hard stop (-13.6%),BULL Hard stop (-13.6%),BULL,csi500
000062,深圳华强,元器件,20250219,23.05,20250311,22.3,100,-624.7,-3.25%,20,Rank 0.34%,"Rank 0.34%, Score 0.0579, BEAR",BULL rank exit (51.2%),BULL rank exit (51.2%),BULL,csi500
000785,居然智家,百货,20250224,4.4,20250314,4.5,700,478.4,2.27%,18,Rank 0.67%,"Rank 0.67%, Score 0.0463, BEAR",BULL rank exit (98.7%),BULL rank exit (98.7%),BULL,csi500
603920,世运电路,元器件,20250228,33.6,20250320,31.16,100,-400.1,-7.26%,20,Rank 0.67%,"Rank 0.67%, Score 0.0417, BULL",BULL rank exit (44.7%),BULL rank exit (44.7%),BULL,csi500
601608,中信重工,专用机械,20250227,4.47,20250321,4.85,600,360.8,8.50%,22,Rank 4.87%,"Rank 4.87%, Score 0.0126, BULL",BULL rank exit (35.1%),BULL rank exit (35.1%),BULL,csi500
601162,天风证券,证券,20250305,4.48,20250324,4.37,1000,-131.4,-2.46%,19,Rank 4.03%,"Rank 4.03%, Score 0.0169, BULL",BULL rank exit (55.5%),BULL rank exit (55.5%),BULL,csi500
002607,中公教育,文教休闲,20250305,3.46,20250324,3.39,100,-61.3,-2.02%,19,Rank 4.37%,"Rank 4.37%, Score 0.0156, BULL",BULL rank exit (39.6%),BULL rank exit (39.6%),BULL,csi500
