代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
300100,300100,其他,20250103,28.43,20250107,25.89,200,-514.7,-8.93%,4,Rank 1.02%,"Rank 1.02%, Score 0.0584, CHOPPY",CHOPPY Hard stop (-8.9%),CHOPPY Hard stop (-8.9%),CHOPPY,csi500
300223,300223,其他,20250103,64.35,20250124,65.5,100,106.5,1.79%,21,Rank 1.52%,"Rank 1.52%, Score 0.0566, CHOPPY",CHOPPY rank exit (36.0%),CHOPPY rank exit (36.0%),CHOPPY,csi500
688676,688676,其他,20250103,38.8,20250205,38.39,200,-92.0,-1.06%,33,Rank 0.17%,"Rank 0.17%, Score 0.0682, CHOPPY",CHOPPY trailing stop (15.6%),CHOPPY trailing stop (15.6%),CHOPPY,csi500
300476,300476,其他,20250103,42.0,20250205,49.0,100,693.6,16.67%,33,Rank 1.18%,"Rank 1.18%, Score 0.0579, CHOPPY",CHOPPY trailing stop (17.6%),CHOPPY trailing stop (17.6%),CHOPPY,csi500
302132,302132,其他,20250103,66.9,20250219,63.0,100,-398.2,-5.83%,47,Rank 1.35%,"Rank 1.35%, Score 0.0574, CHOPPY",CHOPPY trailing stop (14.8%),CHOPPY trailing stop (14.8%),CHOPPY,csi500
002261,002261,其他,20250103,17.65,20250227,37.24,500,9770.8,110.99%,55,Rank 0.34%,"Rank 0.34%, Score 0.0643, CHOPPY",CHOPPY trailing stop (11.6%),CHOPPY trailing stop (11.6%),CHOPPY,csi500
603228,603228,其他,20250205,32.1,20250228,35.0,300,856.4,9.03%,23,Rank 0.34%,"Rank 0.34%, Score 0.0655, CHOPPY",CHOPPY trailing stop (11.6%),CHOPPY trailing stop (11.6%),CHOPPY,csi500
600363,600363,其他,20250103,46.8,20250303,48.75,100,188.7,4.17%,59,Rank 0.68%,"Rank 0.68%, Score 0.0612, CHOPPY",CHOPPY trailing stop (10.7%),CHOPPY trailing stop (10.7%),CHOPPY,csi500
002261,002261,其他,20250227,37.24,20250303,33.89,300,-1018.2,-9.00%,4,Rank 0.17%,"Rank 0.17%, Score 0.1082, CHOPPY",CHOPPY Hard stop (-9.0%),CHOPPY Hard stop (-9.0%),CHOPPY,csi500
601162,601162,其他,20250103,4.28,20250304,4.36,2200,163.5,1.87%,60,Rank 0.51%,"Rank 0.51%, Score 0.0621, CHOPPY",CHOPPY trailing stop (11.6%),CHOPPY trailing stop (11.6%),CHOPPY,csi500
