代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
300140,节能环境,环境保护,20210106,5.93,20210108,5.22,200,-600.0,-11.97%,2,Rank 0.98%,"Rank 0.98%, Score 0.0392, BULL",BULL Hard stop (-12.0%),BULL Hard stop (-12.0%),BULL,csi500
000723,美锦能源,焦炭加工,20210106,6.7,20210112,6.0,100,-474.6,-10.45%,6,Rank 2.94%,"Rank 2.94%, Score 0.0166, BULL",BULL Hard stop (-10.5%),BULL Hard stop (-10.5%),BULL,csi500
600956,新天绿能,供气供热,20210108,9.79,20210112,8.5,600,-791.6,-13.18%,4,Rank 3.33%,"Rank 3.33%, Score 0.0175, BULL",BULL Hard stop (-13.2%),BULL Hard stop (-13.2%),BULL,csi500
688599,天合光能,电气设备,20210105,24.1,20210114,20.81,200,-666.4,-13.63%,9,Rank 1.96%,"Rank 1.96%, Score 0.0226, BULL",BULL Hard stop (-13.6%),BULL Hard stop (-13.6%),BULL,csi500
002240,盛新锂能,小金属,20210105,25.8,20210114,21.92,100,-631.2,-15.02%,9,Rank 4.70%,"Rank 4.70%, Score 0.0152, BULL",BULL Hard stop (-15.0%),BULL Hard stop (-15.0%),BULL,csi500
688520,神州细胞,生物制药,20210107,47.35,20210114,42.51,100,-489.5,-10.22%,7,Rank 3.52%,"Rank 3.52%, Score 0.0178, BULL",BULL Hard stop (-10.2%),BULL Hard stop (-10.2%),BULL,csi500
002670,国盛证券,证券,20210107,12.29,20210115,10.6,200,-795.0,-13.75%,8,Rank 0.78%,"Rank 0.78%, Score 0.0387, BULL",BULL Hard stop (-13.8%),BULL Hard stop (-13.8%),BULL,csi500
601016,节能风电,新型电力,20210106,3.64,20210120,3.33,800,-536.3,-8.50%,14,Rank 1.37%,"Rank 1.37%, Score 0.0314, BULL",BULL trailing stop (18.8%),BULL trailing stop (18.8%),BULL,csi500
601966,玲珑轮胎,汽车配件,20210107,38.88,20210125,43.82,100,519.6,12.71%,18,Rank 3.13%,"Rank 3.13%, Score 0.0183, BULL",BULL rank exit (92.9%),BULL rank exit (92.9%),BULL,csi500
300748,金力永磁,矿物制品,20210105,37.97,20210126,37.68,100,-32.7,-0.72%,21,Rank 2.54%,"Rank 2.54%, Score 0.0197, BULL",BULL rank exit (39.8%),BULL rank exit (39.8%),BULL,csi500
