代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
688306,均普智能,专用机械,20250102,7.74,20250103,7.12,300,-188.8,-8.01%,1,Rank 3.18%,"Rank 3.18%, Score 0.0316, BULL",BEAR Hard stop (-8.0%),BEAR Hard stop (-8.0%),BEAR,csi1000
300468,四方精创,软件服务,20250102,15.66,20250106,14.4,300,-383.6,-8.05%,4,Rank 0.19%,"Rank 0.19%, Score 0.0519, BULL",BEAR Hard stop (-8.0%),BEAR Hard stop (-8.0%),BEAR,csi1000
301091,深城交,建筑工程,20250102,44.56,20250106,40.06,100,-455.2,-10.10%,4,Rank 0.75%,"Rank 0.75%, Score 0.0411, BULL",BEAR Hard stop (-10.1%),BEAR Hard stop (-10.1%),BEAR,csi1000
300077,国民技术,半导体,20250102,22.88,20250106,21.04,200,-373.5,-8.04%,4,Rank 1.03%,"Rank 1.03%, Score 0.0366, BULL",BEAR Hard stop (-8.0%),BEAR Hard stop (-8.0%),BEAR,csi1000
300007,汉威科技,电器仪表,20250102,20.44,20250106,18.63,200,-365.3,-8.82%,4,Rank 1.59%,"Rank 1.59%, Score 0.0348, BULL",BEAR Hard stop (-8.8%),BEAR Hard stop (-8.8%),BEAR,csi1000
300663,科蓝软件,软件服务,20250102,16.82,20250106,15.22,200,-324.0,-9.51%,4,Rank 1.68%,"Rank 1.68%, Score 0.0348, BULL",BEAR Hard stop (-9.5%),BEAR Hard stop (-9.5%),BEAR,csi1000
300098,高新兴,软件服务,20250102,5.36,20250106,4.81,700,-389.4,-10.26%,4,Rank 1.96%,"Rank 1.96%, Score 0.0346, BULL",BEAR Hard stop (-10.3%),BEAR Hard stop (-10.3%),BEAR,csi1000
300182,捷成股份,影视音像,20250102,5.54,20250107,5.68,900,119.4,2.53%,5,Rank 0.84%,"Rank 0.84%, Score 0.0403, BULL",BEAR rank exit (21.4%),BEAR rank exit (21.4%),BEAR,csi1000
600548,深高速,路桥,20250102,13.52,20250107,13.08,300,-137.1,-3.25%,5,Rank 1.21%,"Rank 1.21%, Score 0.0361, BULL",BEAR rank exit (30.8%),BEAR rank exit (30.8%),BEAR,csi1000
300438,鹏辉能源,电气设备,20250102,27.64,20250107,27.3,100,-37.5,-1.23%,5,Rank 2.06%,"Rank 2.06%, Score 0.0345, BULL",BEAR rank exit (46.3%),BEAR rank exit (46.3%),BEAR,csi1000
688206,概伦电子,半导体,20250102,17.85,20250107,17.91,100,3.7,0.34%,5,Rank 2.80%,"Rank 2.80%, Score 0.0324, BULL",BEAR rank exit (76.9%),BEAR rank exit (76.9%),BEAR,csi1000
300337,银邦股份,铝,20250102,10.95,20250107,10.65,200,-62.8,-2.74%,5,Rank 2.99%,"Rank 2.99%, Score 0.0316, BULL",BEAR rank exit (42.6%),BEAR rank exit (42.6%),BEAR,csi1000
300917,特发服务,房产服务,20250102,47.7,20250108,45.52,100,-223.9,-4.57%,6,Rank 0.37%,"Rank 0.37%, Score 0.0507, BULL",BEAR rank exit (54.9%),BEAR rank exit (54.9%),BEAR,csi1000
600835,上海机电,运输设备,20250102,17.35,20250108,16.13,200,-247.3,-7.01%,6,Rank 1.50%,"Rank 1.50%, Score 0.0351, BULL",BEAR rank exit (89.4%),BEAR rank exit (89.4%),BEAR,csi1000
600967,内蒙一机,运输设备,20250102,8.17,20250108,7.88,400,-117.2,-3.46%,6,Rank 1.78%,"Rank 1.78%, Score 0.0348, BULL",BEAR rank exit (25.5%),BEAR rank exit (25.5%),BEAR,csi1000
688158,优刻得-W,软件服务,20250102,13.77,20250108,13.06,200,-145.4,-5.16%,6,Rank 2.71%,"Rank 2.71%, Score 0.0326, BULL",BEAR rank exit (22.7%),BEAR rank exit (22.7%),BEAR,csi1000
002611,东方精工,轻工机械,20250102,9.74,20250109,10.73,500,488.0,10.16%,7,Rank 0.93%,"Rank 0.93%, Score 0.0386, BULL",BEAR rank exit (76.7%),BEAR rank exit (76.7%),BEAR,csi1000
300180,华峰超纤,化纤,20250102,6.17,20250110,5.82,1000,-357.6,-5.67%,8,Rank 0.09%,"Rank 0.09%, Score 0.0541, BULL",BEAR rank exit (32.9%),BEAR rank exit (32.9%),BEAR,csi1000
002276,万马股份,电气设备,20250102,8.32,20250110,7.81,600,-312.1,-6.13%,8,Rank 0.65%,"Rank 0.65%, Score 0.0421, BULL",BEAR trailing stop (8.1%),BEAR trailing stop (8.1%),BEAR,csi1000
603300,海南华铁,多元金融,20250102,5.44,20250110,4.93,800,-413.1,-9.38%,8,Rank 1.12%,"Rank 1.12%, Score 0.0362, BULL",BEAR Hard stop (-9.4%),BEAR Hard stop (-9.4%),BEAR,csi1000
688709,成都华微,半导体,20250102,29.07,20250110,27.52,100,-158.6,-5.33%,8,Rank 1.31%,"Rank 1.31%, Score 0.0361, BULL",BEAR rank exit (58.9%),BEAR rank exit (58.9%),BEAR,csi1000
300047,天源迪科,软件服务,20250102,11.45,20250110,10.64,300,-247.1,-7.07%,8,Rank 2.15%,"Rank 2.15%, Score 0.0343, BULL",BEAR rank exit (52.9%),BEAR rank exit (52.9%),BEAR,csi1000
300378,鼎捷数智,软件服务,20250102,24.72,20250110,23.22,100,-153.0,-6.07%,8,Rank 2.52%,"Rank 2.52%, Score 0.0327, BULL",BEAR rank exit (28.7%),BEAR rank exit (28.7%),BEAR,csi1000
