代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,卖出信号,卖出原因,市场状态,股票池
603606,东方电缆,电气设备,20160422,13.18,20160518,12.03,1500,-1748.5,-8.73%,26,Top Rank,Hard stop (-8.7%),Hard stop (-8.7%),BEAR,csi500
600566,济川药业,中成药,20160428,25.16,20160518,23.65,200,-306.6,-5.97%,20,Top Rank,BEAR trailing stop (8.8%),BEAR trailing stop (8.8%),BEAR,csi500
002312,川发龙蟒,化工原料,20160509,18.58,20160518,16.87,200,-346.4,-9.20%,9,Top Rank,Hard stop (-9.2%),Hard stop (-9.2%),BEAR,csi500
600483,福能股份,新型电力,20160509,10.64,20160518,10.39,200,-52.7,-2.35%,9,Top Rank,BEAR rank exit (65.9%),BEAR rank exit (65.9%),BEAR,csi500
000009,中国宝安,电气设备,20160509,12.35,20160518,12.11,200,-51.1,-1.94%,9,Top Rank,BEAR rank exit (37.4%),BEAR rank exit (37.4%),BEAR,csi500
000591,太阳能,新型电力,20160509,14.44,20160518,13.85,100,-60.8,-4.09%,9,Top Rank,BEAR rank exit (81.9%),BEAR rank exit (81.9%),BEAR,csi500
600801,华新建材,水泥,20160509,6.7,20160518,6.41,300,-89.5,-4.33%,9,Top Rank,BEAR rank exit (49.6%),BEAR rank exit (49.6%),BEAR,csi500
002517,恺英网络,互联网,20160511,34.33,20160518,32.92,400,-581.1,-4.11%,7,Top Rank,BEAR rank exit (82.8%),BEAR rank exit (82.8%),BEAR,csi500
002624,完美世界,互联网,20160511,33.1,20160518,34.1,200,191.1,3.02%,7,Top Rank,BEAR rank exit (46.9%),BEAR rank exit (46.9%),BEAR,csi500
300346,南大光电,半导体,20160512,26.02,20160518,23.82,200,-446.2,-8.46%,6,Top Rank,Hard stop (-8.5%),Hard stop (-8.5%),BEAR,csi500
600295,鄂尔多斯,特种钢,20160506,7.8,20160519,7.34,200,-93.9,-5.90%,13,Top Rank,BEAR rank exit (30.7%),BEAR rank exit (30.7%),BEAR,csi500
002423,中粮资本,多元金融,20160509,11.09,20160519,10.14,300,-289.0,-8.57%,10,Top Rank,Hard stop (-8.6%),Hard stop (-8.6%),BEAR,csi500
603688,石英股份,矿物制品,20160509,16.93,20160519,17.44,100,48.7,3.01%,10,Top Rank,BEAR rank exit (55.4%),BEAR rank exit (55.4%),BEAR,csi500
000034,神州数码,软件服务,20160510,15.95,20160519,17.37,1300,1816.6,8.90%,9,Top Rank,BEAR rank exit (29.8%),BEAR rank exit (29.8%),BEAR,csi500
002407,多氟多,化工原料,20160311,53.05,20160520,95.8,300,12786.4,80.58%,70,Top Rank,BEAR trailing stop (9.8%),BEAR trailing stop (9.8%),BEAR,csi500
600985,淮北矿业,煤炭开采,20160509,10.09,20160524,9.99,100,-11.3,-0.99%,15,Top Rank,BEAR rank exit (25.0%),BEAR rank exit (25.0%),BEAR,csi500
002563,森马服饰,服饰,20160512,11.33,20160525,10.77,300,-172.9,-4.96%,13,Top Rank,BEAR rank exit (31.8%),BEAR rank exit (31.8%),BEAR,csi500
601918,新集能源,煤炭开采,20160513,4.08,20160526,3.78,2700,-823.3,-7.35%,13,Top Rank,BEAR trailing stop (8.0%),BEAR trailing stop (8.0%),BEAR,csi500
300251,光线传媒,影视音像,20160408,25.47,20160530,23.0,100,-249.8,-9.69%,52,Top Rank,Hard stop (-9.7%),Hard stop (-9.7%),BEAR,csi500
000723,美锦能源,焦炭加工,20160525,11.67,20160530,11.63,1800,-99.2,-0.34%,5,Top Rank,BEAR rank exit (28.0%),BEAR rank exit (28.0%),BEAR,csi500
601918,新集能源,煤炭开采,20160526,3.78,20160601,3.93,5600,811.4,3.97%,6,Top Rank,BEAR rank exit (33.7%),BEAR rank exit (33.7%),BEAR,csi500
002273,水晶光电,元器件,20160421,30.75,20160613,35.69,200,978.4,16.06%,53,Top Rank,BEAR trailing stop (12.3%),BEAR trailing stop (12.3%),BEAR,csi500
601567,三星医疗,电气设备,20160506,14.11,20160613,14.3,200,34.3,1.35%,38,Top Rank,BEAR rank exit (56.8%),BEAR rank exit (56.8%),BEAR,csi500
300024,机器人,专用机械,20160530,53.11,20160613,54.43,400,500.6,2.49%,14,Top Rank,BEAR rank exit (38.0%),BEAR rank exit (38.0%),BEAR,csi500
000050,深天马Ａ,元器件,20160530,19.75,20160613,19.36,1000,-415.2,-1.97%,14,Top Rank,BEAR trailing stop (13.2%),BEAR trailing stop (13.2%),BEAR,csi500
300251,光线传媒,影视音像,20160601,24.99,20160613,22.08,800,-2351.3,-11.65%,12,Top Rank,Hard stop (-11.6%),Hard stop (-11.6%),BEAR,csi500
600007,中国国贸,园区开发,20160505,16.97,20160617,18.32,500,662.8,7.95%,43,Top Rank,BEAR rank exit (25.3%),BEAR rank exit (25.3%),BEAR,csi500
300487,蓝晓科技,化工原料,20160613,49.49,20160620,58.88,300,2794.0,18.97%,7,Top Rank,BEAR rank exit (38.9%),BEAR rank exit (38.9%),BEAR,csi500
002312,川发龙蟒,化工原料,20160613,17.0,20160621,17.0,1200,-26.5,0.00%,8,Top Rank,BEAR rank exit (45.3%),BEAR rank exit (45.3%),BEAR,csi500
600884,杉杉股份,电气设备,20160620,37.87,20160623,34.54,600,-2028.0,-8.81%,3,Top Rank,Hard stop (-8.8%),Hard stop (-8.8%),BEAR,csi500
002240,盛新锂能,小金属,20160623,12.97,20160629,13.74,1700,1278.6,5.94%,6,Top Rank,BEAR rank exit (25.0%),BEAR rank exit (25.0%),BEAR,csi500
600390,五矿资本,多元金融,20160617,12.73,20160706,13.96,1700,2060.1,9.66%,19,Top Rank,BEAR rank exit (21.0%),BEAR rank exit (21.0%),BEAR,csi500
000960,锡业股份,小金属,20160711,13.17,20160721,13.46,200,54.5,2.20%,10,Top Rank,BULL rank exit (81.0%),BULL rank exit (81.0%),BULL,csi500
600363,联创光电,元器件,20160711,19.01,20160722,19.73,100,69.4,3.79%,11,Top Rank,BULL rank exit (54.4%),BULL rank exit (54.4%),BULL,csi500
000933,神火股份,铝,20160714,5.11,20160722,4.68,700,-305.3,-8.41%,8,Top Rank,Hard stop (-8.4%),Hard stop (-8.4%),BULL,csi500
600007,中国国贸,园区开发,20160713,20.72,20160725,20.24,100,-50.1,-2.29%,12,Top Rank,BULL rank exit (66.1%),BULL rank exit (66.1%),BULL,csi500
600988,赤峰黄金,黄金,20160714,22.09,20160725,19.67,100,-244.6,-10.96%,11,Top Rank,Hard stop (-11.0%),Hard stop (-11.0%),BULL,csi500
002155,湖南黄金,黄金,20160714,15.49,20160725,13.8,100,-170.8,-10.91%,11,Top Rank,Hard stop (-10.9%),Hard stop (-10.9%),BULL,csi500
600378,昊华科技,化工原料,20160715,17.43,20160725,17.18,200,-54.6,-1.44%,10,Top Rank,BULL rank exit (76.2%),BULL rank exit (76.2%),BULL,csi500
002273,水晶光电,元器件,20160621,39.28,20160727,36.34,500,-1498.1,-7.51%,36,Top Rank,BULL trailing stop (18.1%),BULL trailing stop (18.1%),BULL,csi500
002312,川发龙蟒,化工原料,20160711,18.51,20160727,16.54,100,-199.1,-10.64%,16,Top Rank,Hard stop (-10.6%),Hard stop (-10.6%),BULL,csi500
603688,石英股份,矿物制品,20160712,21.23,20160727,19.33,100,-192.6,-8.95%,15,Top Rank,Hard stop (-9.0%),Hard stop (-9.0%),BULL,csi500
000060,中金岭南,铅锌,20160713,12.39,20160727,10.95,300,-436.7,-11.63%,14,Top Rank,Hard stop (-11.6%),Hard stop (-11.6%),BULL,csi500
300432,富临精工,汽车配件,20160722,33.91,20160727,30.14,100,-381.3,-11.13%,5,Top Rank,Hard stop (-11.1%),Hard stop (-11.1%),BULL,csi500
002595,豪迈科技,专用机械,20160512,20.74,20160729,21.39,100,62.0,3.13%,78,Top Rank,BULL rank exit (55.8%),BULL rank exit (55.8%),BULL,csi500
302132,中航成飞,航空,20160613,35.1,20160729,38.82,600,2207.2,10.63%,46,Top Rank,BULL trailing stop (17.9%),BULL trailing stop (17.9%),BULL,csi500
000728,国元证券,证券,20160721,19.76,20160729,18.08,500,-851.8,-8.50%,8,Top Rank,Hard stop (-8.5%),Hard stop (-8.5%),BULL,csi500
000988,华工科技,专用机械,20160711,20.13,20160801,18.21,100,-194.7,-9.55%,21,Top Rank,Hard stop (-9.6%),Hard stop (-9.6%),BULL,csi500
600004,白云机场,机场,20160722,13.2,20160801,13.42,100,20.3,1.67%,10,Top Rank,BULL rank exit (62.6%),BULL rank exit (62.6%),BULL,csi500
000723,美锦能源,焦炭加工,20160706,13.13,20160804,13.81,1700,1125.5,5.18%,29,Top Rank,BULL rank exit (41.1%),BULL rank exit (41.1%),BULL,csi500
600132,重庆啤酒,啤酒,20160711,15.99,20160804,15.09,100,-91.1,-5.58%,24,Top Rank,BULL rank exit (41.9%),BULL rank exit (41.9%),BULL,csi500
600995,南网储能,水力发电,20160711,10.34,20160808,10.11,200,-49.0,-2.24%,28,Top Rank,BULL rank exit (44.4%),BULL rank exit (44.4%),BULL,csi500
000060,中金岭南,铅锌,20160729,10.58,20160808,10.79,1400,274.6,1.99%,10,Top Rank,BULL rank exit (46.4%),BULL rank exit (46.4%),BULL,csi500
002472,双环传动,汽车配件,20160711,23.91,20160810,22.75,100,-119.6,-4.88%,30,Top Rank,BULL rank exit (88.7%),BULL rank exit (88.7%),BULL,csi500
300251,光线传媒,影视音像,20160712,23.26,20160810,22.22,100,-107.3,-4.49%,29,Top Rank,BULL rank exit (44.8%),BULL rank exit (44.8%),BULL,csi500
002563,森马服饰,服饰,20160725,11.91,20160811,11.69,200,-48.0,-1.89%,17,Top Rank,BULL rank exit (43.1%),BULL rank exit (43.1%),BULL,csi500
002773,康弘药业,化学制药,20160804,74.97,20160815,76.78,100,170.5,2.41%,11,Top Rank,BULL rank exit (46.5%),BULL rank exit (46.5%),BULL,csi500
300432,富临精工,汽车配件,20160729,30.3,20160816,33.28,300,882.3,9.85%,18,Top Rank,BULL rank exit (54.7%),BULL rank exit (54.7%),BULL,csi500
000893,亚钾国际,农药化肥,20160727,11.71,20160818,12.06,300,100.3,2.99%,22,Top Rank,BULL rank exit (40.9%),BULL rank exit (40.9%),BULL,csi500
600516,方大炭素,矿物制品,20160808,10.54,20160819,11.3,1400,1043.4,7.21%,11,Top Rank,BULL rank exit (80.6%),BULL rank exit (80.6%),BULL,csi500
002532,天山铝业,铝,20160725,14.79,20160823,14.48,100,-33.0,-2.10%,29,Top Rank,BULL rank exit (40.6%),BULL rank exit (40.6%),BULL,csi500
002500,山西证券,证券,20160729,14.35,20160824,14.83,500,233.3,3.39%,26,Top Rank,BULL rank exit (42.1%),BULL rank exit (42.1%),BULL,csi500
600007,中国国贸,园区开发,20160815,24.0,20160824,21.92,300,-633.4,-8.68%,9,Top Rank,Hard stop (-8.7%),Hard stop (-8.7%),BULL,csi500
002670,国盛证券,证券,20160816,32.8,20160824,30.15,300,-806.8,-8.08%,8,Top Rank,Hard stop (-8.1%),Hard stop (-8.1%),BULL,csi500
603338,浙江鼎力,工程机械,20160715,47.82,20160825,46.79,100,-109.2,-2.16%,41,Top Rank,BULL rank exit (48.2%),BULL rank exit (48.2%),BULL,csi500
000988,华工科技,专用机械,20160810,19.02,20160825,18.1,200,-189.0,-4.84%,15,Top Rank,BULL rank exit (61.0%),BULL rank exit (61.0%),BULL,csi500
302132,中航成飞,航空,20160804,39.19,20160831,43.59,200,869.8,11.24%,27,Top Rank,BULL rank exit (51.9%),BULL rank exit (51.9%),BULL,csi500
300285,国瓷材料,陶瓷,20160819,41.08,20160901,37.2,400,-1571.5,-9.45%,13,Top Rank,Hard stop (-9.4%),Hard stop (-9.4%),BULL,csi500
601965,中国汽研,汽车服务,20160801,9.77,20160902,9.95,900,152.1,1.86%,32,Top Rank,BULL rank exit (44.9%),BULL rank exit (44.9%),BULL,csi500
600299,安迪苏,饲料,20160713,15.45,20160908,15.17,200,-60.6,-1.83%,57,Top Rank,BULL rank exit (50.0%),BULL rank exit (50.0%),BULL,csi500
000921,海信家电,家用电器,20160726,10.7,20160909,11.11,300,121.0,3.90%,45,Top Rank,BULL trailing stop (15.1%),BULL trailing stop (15.1%),BULL,csi500
000034,神州数码,软件服务,20160727,29.61,20160912,28.04,100,-160.6,-5.30%,47,Top Rank,BULL trailing stop (15.3%),BULL trailing stop (15.3%),BULL,csi500
600612,老凤祥,服饰,20160810,44.96,20160912,42.52,100,-249.5,-5.43%,33,Top Rank,BULL rank exit (42.6%),BULL rank exit (42.6%),BULL,csi500
002797,第一创业,证券,20160811,38.29,20160912,34.35,200,-796.9,-10.29%,32,Top Rank,Hard stop (-10.3%),Hard stop (-10.3%),BULL,csi500
002120,韵达股份,仓储物流,20160831,45.43,20160912,45.87,300,114.5,0.97%,12,Top Rank,BULL rank exit (60.4%),BULL rank exit (60.4%),BULL,csi500
