代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,卖出信号,卖出原因,市场状态,股票池
601965,中国汽研,汽车服务,20170103,10.62,20170109,11.66,1100,1127.3,9.79%,6,Top Rank,BEAR rank exit (67.9%),BEAR rank exit (67.9%),BEAR,csi500
000728,国元证券,证券,20170103,20.4,20170109,20.07,500,-178.0,-1.62%,6,Top Rank,BEAR rank exit (37.2%),BEAR rank exit (37.2%),BEAR,csi500
300285,国瓷材料,陶瓷,20170104,39.81,20170110,39.38,500,-240.6,-1.08%,6,Top Rank,BEAR rank exit (26.2%),BEAR rank exit (26.2%),BEAR,csi500
002262,恩华药业,化学制药,20170103,21.14,20170111,20.88,900,-258.4,-1.23%,8,Top Rank,BEAR rank exit (20.1%),BEAR rank exit (20.1%),BEAR,csi500
002409,雅克科技,半导体,20170103,24.15,20170112,22.65,500,-764.7,-6.21%,9,Top Rank,BEAR trailing stop (8.1%),BEAR trailing stop (8.1%),BEAR,csi500
002430,杭氧股份,化工机械,20170103,8.93,20170113,8.7,2100,-506.8,-2.58%,10,Top Rank,BEAR rank exit (23.6%),BEAR rank exit (23.6%),BEAR,csi500
600985,淮北矿业,煤炭开采,20170103,14.99,20170113,14.12,1100,-977.2,-5.80%,10,Top Rank,BEAR trailing stop (8.8%),BEAR trailing stop (8.8%),BEAR,csi500
600095,湘财股份,证券,20170109,12.91,20170116,12.69,1500,-354.7,-1.70%,7,Top Rank,BEAR rank exit (37.5%),BEAR rank exit (37.5%),BEAR,csi500
000998,隆平高科,种植业,20170109,20.21,20170116,19.5,900,-661.8,-3.51%,7,Top Rank,BEAR rank exit (79.4%),BEAR rank exit (79.4%),BEAR,csi500
300529,健帆生物,医疗保健,20170113,38.87,20170116,35.61,500,-1653.1,-8.39%,3,Top Rank,Hard stop (-8.4%),Hard stop (-8.4%),BEAR,csi500
600096,云天化,农药化肥,20170113,9.23,20170118,9.01,2100,-486.6,-2.38%,5,Top Rank,BEAR rank exit (40.9%),BEAR rank exit (40.9%),BEAR,csi500
002409,雅克科技,半导体,20170112,22.65,20170119,22.3,800,-303.2,-1.55%,7,Top Rank,BEAR rank exit (28.3%),BEAR rank exit (28.3%),BEAR,csi500
002312,川发龙蟒,化工原料,20170116,7.31,20170123,7.76,2600,1143.8,6.16%,7,Top Rank,BEAR rank exit (76.3%),BEAR rank exit (76.3%),BEAR,csi500
300529,健帆生物,医疗保健,20170116,35.61,20170124,36.59,500,466.2,2.75%,8,Top Rank,BEAR rank exit (88.3%),BEAR rank exit (88.3%),BEAR,csi500
002385,大北农,饲料,20170116,6.56,20170125,6.49,2700,-211.8,-1.07%,9,Top Rank,BEAR rank exit (21.0%),BEAR rank exit (21.0%),BEAR,csi500
000818,航锦科技,化工原料,20170119,10.8,20170126,10.86,1700,78.0,0.56%,7,Top Rank,BEAR rank exit (79.3%),BEAR rank exit (79.3%),BEAR,csi500
600486,扬农化工,农药化肥,20170123,36.02,20170208,35.94,500,-63.4,-0.22%,16,Top Rank,BEAR rank exit (69.3%),BEAR rank exit (69.3%),BEAR,csi500
000959,首钢股份,普钢,20170110,7.36,20170209,7.14,2700,-619.1,-2.99%,30,Top Rank,BEAR rank exit (27.9%),BEAR rank exit (27.9%),BEAR,csi500
603606,东方电缆,电气设备,20170103,15.33,20170214,16.05,600,419.5,4.70%,42,Top Rank,BEAR rank exit (21.5%),BEAR rank exit (21.5%),BEAR,csi500
601158,重庆水务,水务,20170208,7.94,20170214,7.85,2400,-240.5,-1.13%,6,Top Rank,BEAR rank exit (26.7%),BEAR rank exit (26.7%),BEAR,csi500
600339,中油工程,石油开采,20170111,7.29,20170215,7.38,2700,217.1,1.23%,35,Top Rank,BEAR rank exit (27.2%),BEAR rank exit (27.2%),BEAR,csi500
600483,福能股份,新型电力,20170214,11.64,20170220,11.94,1700,483.6,2.58%,6,Top Rank,BEAR rank exit (32.5%),BEAR rank exit (32.5%),BEAR,csi500
002595,豪迈科技,专用机械,20170125,23.9,20170222,25.05,800,893.9,4.81%,28,Top Rank,BULL rank exit (77.7%),BULL rank exit (77.7%),BULL,csi500
002423,中粮资本,多元金融,20170126,13.21,20170228,12.8,1400,-597.3,-3.10%,33,Top Rank,BULL rank exit (45.6%),BULL rank exit (45.6%),BULL,csi500
603556,海兴电力,电器仪表,20170220,42.63,20170302,43.81,400,449.2,2.77%,10,Top Rank,BULL rank exit (51.8%),BULL rank exit (51.8%),BULL,csi500
600095,湘财股份,证券,20170222,13.48,20170306,13.16,100,-33.7,-2.37%,12,Top Rank,BULL rank exit (63.3%),BULL rank exit (63.3%),BULL,csi500
603568,伟明环保,环境保护,20170223,24.5,20170306,25.32,100,78.7,3.35%,11,Top Rank,BULL rank exit (41.3%),BULL rank exit (41.3%),BULL,csi500
