代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,卖出信号,卖出原因,市场状态,股票池
002531,天顺风能,电气设备,20180102,8.3,20180110,7.55,600,-455.9,-9.04%,8,Top Rank,Hard stop (-9.0%),Hard stop (-9.0%),BULL,csi500
300136,信维通信,元器件,20180105,51.15,20180110,47.0,100,-421.1,-8.11%,5,Top Rank,Hard stop (-8.1%),Hard stop (-8.1%),BULL,csi500
600352,浙江龙盛,染料涂料,20180102,12.18,20180115,12.41,400,85.5,1.89%,13,Top Rank,BULL rank exit (67.8%),BULL rank exit (67.8%),BULL,csi500
002372,伟星新材,其他建材,20180103,20.36,20180115,20.55,200,32.7,0.93%,12,Top Rank,BULL rank exit (50.0%),BULL rank exit (50.0%),BULL,csi500
600583,海油工程,石油开采,20180104,6.58,20180115,6.86,1100,298.2,4.26%,11,Top Rank,BULL rank exit (57.3%),BULL rank exit (57.3%),BULL,csi500
300115,长盈精密,元器件,20180104,21.04,20180115,19.4,200,-333.0,-7.79%,11,Top Rank,BULL rank exit (42.2%),BULL rank exit (42.2%),BULL,csi500
600688,上海石化,石油加工,20180104,7.04,20180115,7.09,800,32.6,0.71%,11,Top Rank,BULL rank exit (95.2%),BULL rank exit (95.2%),BULL,csi500
600361,创新新材,铝,20180105,5.66,20180115,5.18,1300,-632.8,-8.48%,10,Top Rank,Hard stop (-8.5%),Hard stop (-8.5%),BULL,csi500
002265,建设工业,专用机械,20180108,14.3,20180115,13.1,700,-851.9,-8.39%,7,Top Rank,Hard stop (-8.4%),Hard stop (-8.4%),BULL,csi500
603233,大参林,医药商业,20180102,52.3,20180116,47.41,100,-495.2,-9.35%,14,Top Rank,Hard stop (-9.3%),Hard stop (-9.3%),BULL,csi500
000636,风华高科,元器件,20180102,12.26,20180117,11.22,400,-421.8,-8.48%,15,Top Rank,Hard stop (-8.5%),Hard stop (-8.5%),BULL,csi500
603129,春风动力,摩托车,20180103,26.57,20180117,28.7,200,418.5,8.02%,14,Top Rank,BULL rank exit (59.1%),BULL rank exit (59.1%),BULL,csi500
603806,福斯特,塑料,20180105,34.75,20180117,33.66,200,-226.8,-3.14%,12,Top Rank,BULL rank exit (46.1%),BULL rank exit (46.1%),BULL,csi500
