代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,卖出原因,市场状态,股票池
002025,航天电器,元器件,20260105,51.68,20260114,59.37,100,761.3,14.88%,9,BULL trailing stop (16.1%),BULL,csi500
600879,航天电子,航空,20260105,21.75,20260115,26.78,200,999.0,23.13%,10,BULL trailing stop (15.1%),BULL,csi500
300699,光威复材,化纤,20260105,39.09,20260115,39.32,100,17.9,0.59%,10,BULL trailing stop (15.4%),BULL,csi500
688387,信科移动-U,通信设备,20260114,19.88,20260115,17.76,1100,-2357.4,-10.66%,1,Hard stop (-10.7%),BULL,csi500
300058,蓝色光标,广告包装,20260106,13.66,20260116,16.29,300,782.6,19.25%,10,BULL trailing stop (24.7%),BULL,csi500
002044,美年健康,医疗保健,20260105,5.46,20260119,7.21,1000,1740.6,32.05%,14,BULL trailing stop (15.3%),BULL,csi500
000021,深科技,元器件,20260105,26.35,20260120,31.49,100,509.9,19.51%,15,BULL rank exit (72.6%),BULL,csi500
601611,中国核建,建筑工程,20260105,13.99165755582322,20260120,16.453708885388682,300,732.2,17.60%,15,BULL trailing stop (17.6%),BULL,csi500
300118,东方日升,电气设备,20260105,14.46,20260121,16.25,400,707.6,12.38%,16,BULL trailing stop (16.7%),BULL,csi500
688375,国博电子,元器件,20260115,135.39,20260121,122.77,100,-1278.0,-9.32%,6,Hard stop (-9.3%),BULL,csi500
002131,利欧股份,互联网,20260106,6.63,20260122,8.42,1500,2668.6,27.00%,16,BULL trailing stop (19.0%),BULL,csi500
600021,上海电力,火力发电,20260106,20.79,20260122,23.27,300,734.9,11.93%,16,BULL rank exit (75.7%),BULL,csi500
000878,云南铜业,铜,20260106,21.249999999999996,20260122,22.26,200,196.2,4.75%,16,BULL rank exit (43.6%),BULL,csi500
688387,信科移动-U,通信设备,20260115,17.76,20260126,17.9,1200,140.1,0.79%,11,BULL trailing stop (18.2%),BULL,csi500
600096,云天化,农药化肥,20260105,33.81,20260128,39.89,100,602.8,17.98%,23,BULL rank exit (82.7%),BULL,csi500
300285,国瓷材料,陶瓷,20260105,29.0,20260129,30.12,100,108.1,3.86%,24,BULL trailing stop (16.9%),BULL,csi500
002130,沃尔核材,电气设备,20260105,26.95,20260129,27.43,100,44.4,1.78%,24,BULL trailing stop (17.7%),BULL,csi500
600673,东阳光,综合类,20260106,24.41,20260129,27.25,200,560.9,11.63%,23,BULL trailing stop (15.2%),BULL,csi500
600498,烽火通信,通信设备,20260119,39.31,20260129,39.6,400,95.4,0.74%,10,BULL rank exit (61.3%),BULL,csi500
300432,富临精工,汽车配件,20260105,17.84,20260130,16.96,200,-180.4,-4.93%,25,BULL trailing stop (16.6%),BULL,csi500
300339,润和软件,软件服务,20260106,51.39222454142948,20260130,50.070366856419994,100,-138.7,-2.57%,24,BULL trailing stop (15.3%),BULL,csi500
000060,中金岭南,铅锌,20260129,8.55,20260130,7.7,400,-344.0,-9.94%,1,Hard stop (-9.9%),BULL,csi500
000960,锡业股份,小金属,20260105,28.28,20260202,35.92556822650413,100,759.9,27.04%,28,BULL trailing stop (23.3%),BULL,csi500
002414,高德红外,电器仪表,20260106,16.31,20260202,16.19,500,-70.5,-0.74%,27,BULL rank exit (66.9%),BULL,csi500
603650,彤程新材,化工原料,20260106,46.88,20260202,54.21,100,726.0,15.64%,27,BULL trailing stop (15.7%),BULL,csi500
002558,巨人网络,互联网,20260106,45.4,20260202,42.4,100,-305.5,-6.61%,27,BULL trailing stop (17.1%),BULL,csi500
600392,盛和资源,小金属,20260120,23.91727338908018,20260202,24.408449581898672,100,45.9,2.05%,13,BULL trailing stop (18.9%),BULL,csi500
688005,容百科技,电气设备,20260121,31.68,20260202,29.36,300,-707.5,-7.32%,12,BULL trailing stop (18.2%),BULL,csi500
688249,晶合集成,半导体,20260122,37.0,20260202,33.52,200,-704.7,-9.41%,11,Hard stop (-9.4%),BULL,csi500
603596,伯特利,汽车配件,20260122,55.81,20260202,49.599999999999994,100,-627.4,-11.13%,11,Hard stop (-11.1%),BULL,csi500
688469,芯联集成-U,半导体,20260128,8.24,20260202,7.2,1800,-1888.8,-12.62%,5,Hard stop (-12.6%),BULL,csi500
688172,燕东微,半导体,20260129,46.8,20260202,41.94,100,-491.5,-10.38%,4,Hard stop (-10.4%),BULL,csi500
601168,西部矿业,铜,20260130,35.6,20260202,32.04,100,-360.2,-10.00%,3,Hard stop (-10.0%),BULL,csi500
002156,通富微电,半导体,20260105,39.54,20260205,47.72,100,811.8,20.69%,31,BULL trailing stop (15.3%),BULL,csi500
002281,光迅科技,通信设备,20260106,69.48,20260205,66.33,100,-323.6,-4.53%,30,BULL trailing stop (15.5%),BULL,csi500
002436,兴森科技,元器件,20260106,21.85,20260205,21.82,200,-11.7,-0.14%,30,BULL trailing stop (15.7%),BULL,csi500
002532,天山铝业,铝,20260115,18.88378207601775,20260205,17.828482056723907,500,-539.2,-5.59%,21,BULL trailing stop (15.2%),BULL,csi500
