date,portfolio_value,cash,positions,market_regime,cum_return,max_drawdown
2016-01-04,200000.0,155731.7235,10,BULL,0.0,0.0
2016-01-05,198666.7235,111133.34800000001,18,BULL,-0.006666382500000068,-0.006666382500000068
2016-01-06,201569.348,74004.21260000001,24,BULL,0.007846739999999963,0.0
2016-01-07,189202.3183,87856.22179999998,21,BULL,-0.053988408499999974,-0.06183514849999994
2016-01-08,190455.22179999997,51496.317099999986,27,BULL,-0.047723891000000185,-0.05557063100000015
2016-01-11,179509.88289999997,81044.69269999997,9,BEAR,-0.10245058550000019,-0.11029732550000015
2016-01-12,180990.49209999997,42529.213099999964,9,BEAR,-0.09504753950000011,-0.10289427950000007
2016-01-13,174347.11329999997,29734.032099999968,9,BEAR,-0.12826443350000016,-0.13611117350000013
2016-01-14,181318.03209999995,29734.032099999968,9,BEAR,-0.09340983950000026,-0.10125657950000022
2016-01-15,174795.03209999995,29734.032099999968,9,BEAR,-0.1260248395000002,-0.13387157950000017
2016-01-18,180428.97669999997,26906.73839999997,9,BEAR,-0.09785511650000012,-0.10570185650000008
2016-01-19,189214.73839999997,26906.73839999997,9,BEAR,-0.05392630800000009,-0.06177304800000005
2016-01-20,187707.73839999997,26906.73839999997,9,BEAR,-0.06146130800000016,-0.06930804800000012
2016-01-21,179551.69849999997,29932.31189999997,9,BEAR,-0.10224150750000016,-0.11008824750000012
2016-01-22,184638.31189999997,29932.31189999997,9,BEAR,-0.07680844050000013,-0.0846551805000001
2016-01-25,188492.03109999996,32121.63259999997,9,BEAR,-0.05753984450000016,-0.06538658450000012
2016-01-26,173383.7528,69568.6176,9,BEAR,-0.1330812360000001,-0.14092797600000007
2016-01-27,171847.6176,69568.6176,9,BEAR,-0.140761912,-0.14860865199999995
2016-01-28,164650.1198,50338.5612356225,9,BEAR,-0.17674940100000003,-0.184596141
2016-01-29,169774.80431862647,50338.5612356225,9,BEAR,-0.1511259784068677,-0.15897271840686766
2016-02-01,166686.31591506914,39947.5847356225,9,BEAR,-0.16656842042465436,-0.17441516042465433
2016-02-02,174516.7365182312,39430.7817356225,9,BEAR,-0.12741631740884407,-0.13526305740884403
2016-02-03,177137.5816368083,39430.7817356225,9,BEAR,-0.11431209181595858,-0.12215883181595855
2016-02-04,180613.1631585474,39430.7817356225,9,BEAR,-0.09693418420726307,-0.10478092420726304
2016-02-05,180324.01434841895,34004.94034841895,9,BEAR,-0.09837992825790531,-0.10622666825790528
2016-02-15,182171.94034841895,34004.94034841895,9,BEAR,-0.08914029825790526,-0.09698703825790522
2016-02-16,191895.94034841895,34004.94034841895,9,BEAR,-0.04052029825790526,-0.048367038257905226
2016-02-17,197585.98984841895,36209.151309639776,9,BEAR,-0.012070050757905237,-0.0199167907579052
2016-02-18,197688.73788953206,35546.55870963978,9,BEAR,-0.011556310552339744,-0.019403050552339707
2016-02-19,197629.930343392,35546.55870963978,9,BEAR,-0.01185034828303988,-0.019697088283039843
2016-02-22,203189.68079222503,35546.55870963978,9,BEAR,0.01594840396112507,0.0
2016-02-23,200942.33070245842,35546.55870963978,9,BEAR,0.004711653512292191,-0.011236750448832877
2016-02-24,201658.05390245843,33746.60950963978,9,BEAR,0.00829026951229217,-0.007658134448832898
2016-02-25,187826.900594559,53697.13719455901,9,BEAR,-0.06086549702720501,-0.07681390098833007
2016-02-26,187049.137194559,53697.13719455901,9,BEAR,-0.064754314027205,-0.08070271798833006
2016-02-29,178782.98379455903,49646.76249455901,9,BEAR,-0.10608508102720482,-0.12203348498832989
2016-03-01,182708.843694559,39817.47289455902,9,BEAR,-0.08645578152720501,-0.10240418548833008
2016-03-02,190612.714894559,34778.112094559016,9,BEAR,-0.046936425527205006,-0.06288482948833007
2016-03-03,190775.288394559,31528.746494559015,9,BEAR,-0.046123558027205025,-0.06207196198833009
2016-03-04,181602.161794559,38402.88709455901,9,BEAR,-0.09198919102720493,-0.10793759498833
2016-03-07,187810.29989455902,40863.60339455901,9,BEAR,-0.06094850052720491,-0.07689690448832998
2016-03-08,188224.179994559,40042.53699455901,9,BEAR,-0.05887910002720498,-0.07482750398833005
2016-03-09,185407.536994559,40042.53699455901,9,BEAR,-0.07296231502720507,-0.08891071898833014
2016-03-10,181729.971594559,40320.85599455901,9,BEAR,-0.09135014202720504,-0.10729854598833011
2016-03-11,181578.488994559,36974.71449455901,9,BEAR,-0.09210755502720491,-0.10805595898832998
2016-03-14,189339.714494559,36974.71449455901,9,BEAR,-0.0533014275272049,-0.06924983148832997
2016-03-15,189435.714494559,36974.71449455901,9,BEAR,-0.05282142752720498,-0.06876983148833005
2016-03-16,187611.922094559,31928.779794559014,9,BEAR,-0.06194038952720493,-0.07788879348833
2016-03-17,198857.779794559,31928.779794559014,9,BEAR,-0.005711101027204957,-0.021659504988330025
2016-03-18,209242.779794559,31928.779794559014,9,BEAR,0.04621389897279493,0.0
2016-03-21,215044.665394559,32464.80939455902,9,BEAR,0.0752233269727951,0.0
2016-03-22,216458.809394559,32464.80939455902,9,BEAR,0.08229404697279508,0.0
2016-03-23,222059.809394559,32464.80939455902,9,BEAR,0.11029904697279513,0.0
2016-03-24,219930.809394559,32464.80939455902,9,BEAR,0.09965404697279512,-0.010645000000000016
2016-03-25,218206.809394559,32464.80939455902,9,BEAR,0.09103404697279505,-0.019265000000000088
2016-03-28,214640.20339455904,40913.77369455902,9,BEAR,0.07320101697279524,-0.03709802999999989
2016-03-29,210706.94819455902,41703.01389455903,9,BEAR,0.05353474097279509,-0.05676430600000004
2016-03-30,220289.01389455903,38012.907194559026,12,BULL,0.10144506947279508,-0.008853977500000054
2016-03-31,221608.90719455903,34886.969694559026,14,BULL,0.10804453597279506,-0.00225451100000007
2016-04-01,220701.96969455903,32329.202594559025,16,BULL,0.10350984847279521,-0.006789198499999927
2016-04-05,228566.20259455903,28883.30079174634,18,BULL,0.1428310129727952,0.0
2016-04-06,232115.2594991072,24000.83649174634,21,BULL,0.16057629749553604,0.0
2016-04-07,226533.61147678524,18974.33558552076,24,BULL,0.13266805738392629,-0.02790824011160975
2016-04-08,224411.70354861653,14883.10858552076,26,BULL,0.12205851774308263,-0.03851777975245341
2016-04-11,225520.41794845392,17962.50168552076,29,BULL,0.1276020897422696,-0.03297420775326643
2016-04-12,221673.21380009572,17564.219276157964,30,BULL,0.10836606900047863,-0.05221022849505741
2016-04-13,225265.87473511262,17564.219276157964,30,BULL,0.12632937367556307,-0.03424692381997296
2016-04-14,228165.12866550154,17564.219276157964,30,BULL,0.1408256433275077,-0.019750654168028348
2016-04-15,228666.86379347803,12348.405762119566,30,BULL,0.14333431896739013,-0.017241978528145907
2016-04-18,229581.33335589574,1638.6409621195671,30,BULL,0.1479066667794786,-0.012669630716057423
2016-04-19,230329.3589596061,5512.895462119566,28,BULL,0.15164679479803045,-0.008929502697505587
2016-04-20,219246.3618220238,34550.77196211958,27,BULL,0.09623180911011908,-0.06434448838541695
2016-04-21,214670.04167121593,19426.11226211958,30,BULL,0.07335020835607975,-0.08722608913945629
2016-04-22,218835.90307121593,1108.2832621195776,30,BULL,0.0941795153560796,-0.06639678213945643
2016-04-25,217271.1891505696,399.91466211957777,30,BULL,0.086355945752848,-0.07422035174268804
2016-04-26,218146.42351877457,4667.763062119578,30,BULL,0.0907321175938729,-0.06984417990166314
2016-04-27,216781.31363775238,1815.0253621195789,30,BULL,0.08390656818876185,-0.07666972930677418
2016-04-28,217493.19322558935,4025.7937002875215,30,BULL,0.08746596612794666,-0.07311033136758938
2016-04-29,216899.3996446665,4025.7937002875215,30,BULL,0.08449699822333256,-0.07607929927220347
2016-05-03,224871.67608867414,4025.7937002875215,30,BULL,0.12435838044337078,-0.03621791705216526
2016-05-04,227026.02051116913,4025.7937002875215,30,BULL,0.13513010255584557,-0.02544619493969047
2016-05-05,229350.69446022698,2039.7852002875225,30,BULL,0.146753472301135,-0.013822825194401034
2016-05-06,221002.63528316986,2244.1063313467685,30,BULL,0.10501317641584929,-0.05556312107968675
2016-05-09,215354.87916165282,15133.815631346777,30,BULL,0.07677439580826406,-0.08380190168727197
2016-05-10,213958.43213726903,16905.290531346778,30,BULL,0.0697921606863452,-0.09078413680919084
2016-05-11,215034.2419932641,11759.38333134678,30,BULL,0.07517120996632043,-0.0854050875292156
2016-05-12,219025.12003807884,7832.939290629869,30,BULL,0.09512560019039418,-0.06545069730514186
2016-05-13,220167.59535642678,824.4136906298681,30,BULL,0.10083797678213391,-0.05973832071340213
2016-05-16,223237.2934161687,824.4136906298681,30,BULL,0.11618646708084346,-0.04438983041469258
2016-05-17,221961.50646843074,824.4136906298681,30,BULL,0.10980753234215368,-0.050768765153382356
2016-05-18,213301.09151961052,95866.14175093558,15,BEAR,0.0665054575980526,-0.09407083989748344
2016-05-19,215281.642466639,124663.65625093559,11,BEAR,0.07640821233319506,-0.08416808516234098
2016-05-20,214304.22047762928,153365.04763669017,10,BEAR,0.07152110238814635,-0.08905519510738968
2016-05-23,214686.40674798272,153365.04763669017,10,BEAR,0.0734320337399137,-0.08714426375562234
2016-05-24,214085.23212113144,154362.74893669016,9,BEAR,0.0704261606056571,-0.09015013688987894
2016-05-25,213447.05057644018,136575.85254629405,9,BEAR,0.06723525288220089,-0.09334104461333514
2016-05-26,213036.06106969647,125594.23434629405,9,BEAR,0.06518030534848229,-0.09539599214705374
2016-05-27,213862.77016500794,125594.23434629405,9,BEAR,0.06931385082503971,-0.09126244667049632
2016-05-30,215139.37798539593,107791.1256171011,9,BEAR,0.07569688992697965,-0.08487940756855639
2016-05-31,220570.60298251268,107791.1256171011,9,BEAR,0.10285301491256327,-0.05772328258297277
2016-06-01,221836.0907047263,109773.14582483059,9,BEAR,0.10918045352363137,-0.051395843971904664
2016-06-02,224058.47363061097,109773.14582483059,9,BEAR,0.12029236815305477,-0.04028392934248126
2016-06-03,223149.65745897326,109773.14582483059,9,BEAR,0.1157482872948663,-0.04482801020066973
2016-06-06,224283.2945764757,109773.14582483059,9,BEAR,0.12141647288237833,-0.0391598246131577
2016-06-07,224211.7732957415,109773.14582483059,9,BEAR,0.12105886647870756,-0.039517431016828475
2016-06-08,224281.6875003631,109773.14582483059,9,BEAR,0.1214084375018154,-0.03916785999372063
2016-06-13,216537.14939307282,82148.9604951067,9,BEAR,0.08268574696536413,-0.07789055053017191
2016-06-14,218181.66873911375,82148.9604951067,9,BEAR,0.09090834369556866,-0.06966795379996737
2016-06-15,224282.89064716248,82148.9604951067,9,BEAR,0.12141445323581235,-0.03916184425972369
2016-06-16,225549.075778148,82148.9604951067,9,BEAR,0.1277453788907399,-0.032830918604796144
2016-06-17,225441.76975498185,69649.30364831771,9,BEAR,0.12720884877490923,-0.0333674487206268
2016-06-20,227901.11012863315,64560.963863919154,9,BEAR,0.13950555064316572,-0.021070746852370315
2016-06-21,225805.15466558712,65286.30011443288,9,BEAR,0.12902577332793563,-0.0315505241676004
2016-06-22,228746.20998908224,65286.30011443288,9,BEAR,0.1437310499454112,-0.016845247550124842
2016-06-23,226371.14854165234,63925.275451601025,9,BEAR,0.13185574270826161,-0.02872055478727442
2016-06-24,225318.0078073608,63925.275451601025,9,BEAR,0.126590039036804,-0.033986258458732044
2016-06-27,229487.2409117653,63925.275451601025,9,BEAR,0.14743620455882644,-0.013140092936709591
2016-06-28,232040.01961453303,63925.275451601025,9,BEAR,0.16020009807266522,-0.0003761994228708154
2016-06-29,231842.7448892164,65326.33405160102,9,BEAR,0.15921372444608206,-0.0013625730494539745
2016-06-30,231280.350166563,65326.33405160102,9,BEAR,0.15640175083281505,-0.00417454666272099
2016-07-01,231364.75682006998,65326.33405160102,9,BEAR,0.15682378410034992,-0.003752513395186119
2016-07-04,235140.22529585502,65326.33405160102,9,BEAR,0.17570112647927516,0.0
2016-07-05,234562.11793359637,65326.33405160102,9,BEAR,0.1728105896679819,-0.002890536811293254
2016-07-06,235355.47899921774,66699.78615160103,9,BEAR,0.1767773949960887,0.0
2016-07-07,236511.06848778157,66699.78615160103,9,BEAR,0.18255534243890792,0.0
2016-07-08,236308.60827887664,66699.78615160103,9,BEAR,0.18154304139438326,-0.001012301044524655
2016-07-11,236533.64182604445,52237.139033201536,16,BULL,0.1826682091302223,0.0
2016-07-12,238247.5855457173,45361.44829400261,19,BULL,0.1912379277285865,0.0
2016-07-13,238958.42732970353,36479.02321927956,22,BULL,0.1947921366485177,0.0
2016-07-14,237461.48736690148,23298.458493574813,27,BULL,0.18730743683450735,-0.007484699814010343
2016-07-15,237184.00364027126,9449.214205834503,30,BULL,0.18592001820135629,-0.008872118447161403
2016-07-18,235918.17192356242,9449.214205834503,30,BULL,0.17959085961781218,-0.015201277030705507
2016-07-19,231527.6535793876,9449.214205834503,30,BULL,0.15763826789693813,-0.037153868751579555
2016-07-20,231250.0088756365,9449.214205834503,30,BULL,0.15625004437818246,-0.038542092270335226
2016-07-21,230694.59637466245,2254.7506058345025,30,BULL,0.15347298187331226,-0.041319154775205424
2016-07-22,230034.38131262572,2784.523911351286,30,BULL,0.15017190656312862,-0.04462023008538907
2016-07-25,230567.7931272358,7717.930605680904,28,BULL,0.15283896563617905,-0.04195317101233864
2016-07-26,233791.64780558142,2748.339741216769,30,BULL,0.1689582390279072,-0.025833897620610502
2016-07-27,224907.64132483813,13879.95801777496,30,BULL,0.12453820662419068,-0.070253930024327
2016-07-28,223120.12669653355,13879.95801777496,30,BULL,0.1156006334826678,-0.07919150316584989
2016-07-29,220813.24873527375,17224.72002554063,30,BULL,0.10406624367636885,-0.09072589297214884
2016-08-01,218794.00410996308,6386.770826030374,30,BULL,0.09397002054981529,-0.1008221160987024
2016-08-02,224696.8614283806,6386.770826030374,30,BULL,0.12348430714190295,-0.07130782950661474
2016-08-03,226115.24178498652,6386.770826030374,30,BULL,0.1305762089249325,-0.0642159277235852
2016-08-04,228185.21153540022,16001.518304935562,30,BULL,0.14092605767700106,-0.05386607897151663
2016-08-05,226385.86364164884,16001.518304935562,30,BULL,0.13192931820824416,-0.06286281844027353
2016-08-08,228072.54749327022,10992.717861318222,30,BULL,0.1403627374663512,-0.054429399182166494
2016-08-09,231914.15397464234,10992.717861318222,30,BULL,0.15957076987321162,-0.03522136677530607
2016-08-10,229504.25266011883,7180.645049528487,30,BULL,0.14752126330059423,-0.04727087334792346
2016-08-11,227403.55815509602,1854.4017066207653,30,BULL,0.13701779077548015,-0.057774345873037536
2016-08-12,228591.32194271404,1854.4017066207653,30,BULL,0.14295660971357016,-0.05183552693494753
2016-08-15,234502.48416294553,2319.772948969391,30,BULL,0.17251242081472773,-0.02227971583378996
2016-08-16,236010.03323912332,2448.6462849614163,30,BULL,0.18005016619561665,-0.014741970452901043
2016-08-17,235820.47846146056,2448.6462849614163,30,BULL,0.17910239230730274,-0.01568974434121495
2016-08-18,233756.92458316308,1916.699684961416,30,BULL,0.16878462291581542,-0.02600751373270227
2016-08-19,236353.83201724486,1278.7701367238078,30,BULL,0.18176916008622435,-0.013022976562293342
2016-08-22,232434.5024358566,1278.7701367238078,30,BULL,0.16217251217928297,-0.03261962446923472
2016-08-23,231869.57771292992,495.34848736517233,30,BULL,0.15934788856464954,-0.035444248083868146
2016-08-24,230825.95277457673,10118.945735874287,30,BULL,0.15412976387288357,-0.040662372775634115
2016-08-25,230067.16163319722,5693.373720814756,30,BULL,0.15033580816598602,-0.04445632848253167
2016-08-26,229613.14392182961,5693.373720814756,30,BULL,0.14806571960914816,-0.04672641703936953
2016-08-29,230461.85724447912,5693.373720814756,30,BULL,0.1523092862223956,-0.0424828504261221
2016-08-30,229822.25465433742,5693.373720814756,30,BULL,0.14911127327168705,-0.04568086337683064
2016-08-31,229961.4930978,768.088642568784,30,BULL,0.14980746548900004,-0.04498467115951765
2016-09-01,228009.17600477336,1987.444401372386,30,BULL,0.14004588002386686,-0.054746256624650824
2016-09-02,227526.84512419844,664.6137474182251,30,BULL,0.13763422562099215,-0.05715791102752554
2016-09-05,228345.08228483188,664.6137474182251,30,BULL,0.1417254114241593,-0.0530667252243584
2016-09-06,230610.8002353695,664.6137474182251,30,BULL,0.15305400117684753,-0.04173813547167016
2016-09-07,230217.42577282016,664.6137474182251,30,BULL,0.15108712886410092,-0.04370500778441677
2016-09-08,229830.00673537474,1316.1453889175655,30,BULL,0.14915003367687363,-0.04564210297164406
2016-09-09,228425.79687964762,981.1275947662466,30,BULL,0.14212898439823807,-0.05266315225027962
2016-09-12,222224.70672371902,12467.331382742002,30,BULL,0.11112353361859517,-0.08366860302992252
2016-09-13,226048.72278611932,12467.331382742002,30,BULL,0.1302436139305967,-0.064548522717921
2016-09-14,223899.30230423668,10590.088667912063,30,BULL,0.11949651152118346,-0.07529562512733423
2016-09-19,225653.4335044542,1683.5787889019157,30,BULL,0.12826716752227107,-0.06652496912624661
2016-09-20,225414.89887758685,1683.5787889019157,30,BULL,0.12707449438793428,-0.06771764226058341
2016-09-21,226173.6784201485,1683.5787889019157,30,BULL,0.13086839210074253,-0.06392374454777516
2016-09-22,226457.48408416627,1010.9528460447737,30,BULL,0.1322874204208313,-0.06250471622768639
2016-09-23,225348.90815095633,1010.9528460447737,30,BULL,0.1267445407547816,-0.0680475958937361
2016-09-26,220744.52377650028,19838.00589894012,30,BULL,0.10372261888250134,-0.09106951776601635
2016-09-27,222715.68766434875,1908.1614544422919,30,BULL,0.11357843832174375,-0.08121369832677394
2016-09-28,223485.38664698586,1908.1614544422919,30,BULL,0.11742693323492936,-0.07736520341358832
2016-09-29,224560.45283783157,8706.538480517638,30,BULL,0.12280226418915796,-0.07198987245935973
2016-09-30,225701.08820289306,7444.73862992003,30,BULL,0.12850544101446526,-0.06628669563405243
2016-10-10,229911.987070889,5272.269410481407,30,BULL,0.149559935354445,-0.04523220129407268
2016-10-11,234741.89189551317,4470.543007853481,30,BULL,0.1737094594775659,-0.021082677170951802
