代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
300180,华峰超纤,化纤,20250102,6.3,20250106,5.73,1000,-577.4,-9.05%,4,Rank 0.09%,"Rank 0.09%, Score 0.0541, BULL",BEAR Hard stop (-9.0%),BEAR Hard stop (-9.0%),BEAR,csi1000
300468,四方精创,软件服务,20250102,16.28,20250106,14.43,300,-560.6,-11.36%,4,Rank 0.19%,"Rank 0.19%, Score 0.0519, BULL",BEAR Hard stop (-11.4%),BEAR Hard stop (-11.4%),BEAR,csi1000
301487,盟固利,化工原料,20250102,21.19,20250106,19.13,200,-417.0,-9.72%,4,Rank 0.28%,"Rank 0.28%, Score 0.0512, BULL",BEAR Hard stop (-9.7%),BEAR Hard stop (-9.7%),BEAR,csi1000
300917,特发服务,房产服务,20250102,48.66,20250106,44.0,100,-471.7,-9.58%,4,Rank 0.37%,"Rank 0.37%, Score 0.0507, BULL",BEAR Hard stop (-9.6%),BEAR Hard stop (-9.6%),BEAR,csi1000
301091,深城交,建筑工程,20250102,47.7,20250106,40.9,100,-685.3,-14.26%,4,Rank 0.75%,"Rank 0.75%, Score 0.0411, BULL",BEAR Hard stop (-14.3%),BEAR Hard stop (-14.3%),BEAR,csi1000
300077,国民技术,半导体,20250102,23.83,20250106,21.22,200,-527.5,-10.95%,4,Rank 1.03%,"Rank 1.03%, Score 0.0366, BULL",BEAR Hard stop (-11.0%),BEAR Hard stop (-11.0%),BEAR,csi1000
688709,成都华微,半导体,20250102,30.5,20250106,27.3,100,-323.5,-10.49%,4,Rank 1.31%,"Rank 1.31%, Score 0.0361, BULL",BEAR Hard stop (-10.5%),BEAR Hard stop (-10.5%),BEAR,csi1000
002815,崇达技术,元器件,20250102,10.11,20250106,9.28,400,-336.8,-8.21%,4,Rank 1.40%,"Rank 1.40%, Score 0.0352, BULL",BEAR Hard stop (-8.2%),BEAR Hard stop (-8.2%),BEAR,csi1000
600835,上海机电,运输设备,20250102,17.92,20250106,16.29,200,-330.5,-9.10%,4,Rank 1.50%,"Rank 1.50%, Score 0.0351, BULL",BEAR Hard stop (-9.1%),BEAR Hard stop (-9.1%),BEAR,csi1000
300663,科蓝软件,软件服务,20250102,17.27,20250106,15.49,200,-360.0,-10.31%,4,Rank 1.68%,"Rank 1.68%, Score 0.0348, BULL",BEAR Hard stop (-10.3%),BEAR Hard stop (-10.3%),BEAR,csi1000
