date,portfolio_value,cash,positions,market_regime,cum_return,max_drawdown
2022-01-04,200000.0,175517.56047090003,5,BULL,0.0,0.0
2022-01-05,199665.6384709,159909.17235880002,8,BULL,-0.001671807645499901,-0.001671807645499901
2022-01-06,200171.04435880002,148170.45680030002,10,BULL,0.000855221794000105,0.0
2022-01-07,198796.16480030003,137600.25969220002,12,BULL,-0.006019175998499882,-0.006874397792499987
2022-01-10,199723.1626922,132517.3402737,13,BULL,-0.0013841865389999652,-0.0022394083330000703
2022-01-11,200014.23127370008,121455.07058810002,15,BULL,7.115636850030249e-05,-0.0007840654254998025
2022-01-12,200377.44789200003,140419.38189200003,11,BEAR,0.001887239460000023,0.0
2022-01-13,198231.94889690002,150076.03889690002,9,BEAR,-0.00884025551549994,-0.010727494975499963
2022-01-14,198530.7143265,155150.64132650002,8,BEAR,-0.007346428367500102,-0.009233667827500125
2022-01-17,198831.56958650003,161282.45958650002,7,BEAR,-0.005842152067499828,-0.0077293915274998515
2022-01-18,198754.4999004,162534.87753740003,6,BEAR,-0.006227500498000027,-0.00811473995800005
2022-01-19,198832.2193662,139276.88967300003,6,BEAR,-0.0058389031689999316,-0.007726142628999955
2022-01-20,197247.97641529999,128618.09674050003,6,BEAR,-0.01376011792350007,-0.015647357383500093
2022-01-21,196335.1913389,110551.69431530002,6,BEAR,-0.01832404330549997,-0.020211282765499994
2022-01-24,200908.68131530003,110551.69431530002,6,BEAR,0.0045434065765002085,0.0
2022-01-25,196772.22363530003,108288.95315530001,6,BEAR,-0.016138881823499873,-0.02068228840000008
2022-01-26,197583.1451553,108288.95315530001,6,BEAR,-0.012084274223500002,-0.01662768080000021
2022-01-27,194917.6686019,108069.98430190001,6,BEAR,-0.025411656990500076,-0.029955063567000284
2022-01-28,196425.4549979,107330.2669331,6,BEAR,-0.017872725010499968,-0.022416131587000176
2022-02-07,196414.27543130002,109734.64963410002,6,BEAR,-0.01792862284349994,-0.02247202942000015
2022-02-08,195732.54677190003,110979.88312650002,6,BEAR,-0.0213372661404998,-0.02588067271700001
2022-02-09,197138.6354705,106877.75592810003,6,BEAR,-0.01430682264749994,-0.018850229224000148
2022-02-10,196626.97792810004,106877.75592810003,6,BEAR,-0.01686511035949978,-0.02140851693599999
2022-02-11,193330.89292810002,106877.75592810003,6,BEAR,-0.03334553535949991,-0.03788894193600012
2022-02-14,193986.92992810003,106877.75592810003,6,BEAR,-0.030065350359499865,-0.034608756936000074
2022-02-15,195265.02503900003,104021.80550700003,6,BEAR,-0.023674874804999857,-0.028218281381500065
2022-02-16,196229.41150700004,104021.80550700003,6,BEAR,-0.0188529424649998,-0.02339634904150001
2022-02-17,196943.95243680003,111820.51259340004,6,BEAR,-0.015280237815999853,-0.01982364439250006
2022-02-18,198262.7065934,111820.51259340004,6,BEAR,-0.008686467032999912,-0.01322987360950012
