代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
002444,巨星科技,轻工机械,20220301,20.1,20220307,17.85,200,-1995.4,-11.19%,6,Rank 0.37%,"Rank 0.37%, Score 0.0291, BEAR",BEAR Hard stop (-11.2%),BEAR Hard stop (-11.2%),BEAR,csi500
600348,华阳股份,煤炭开采,20220218,11.79,20220308,12.5,100,656.1,6.02%,18,Rank 0.18%,"Rank 0.18%, Score 0.0405, BEAR",BEAR rank exit (32.3%),BEAR rank exit (32.3%),BEAR,csi500
000933,神火股份,铝,20220228,12.92,20220308,13.89,100,1195.5,7.51%,8,Rank 0.18%,"Rank 0.18%, Score 0.0460, BEAR",BEAR rank exit (99.6%),BEAR rank exit (99.6%),BEAR,csi500
600546,山煤国际,煤炭开采,20220207,9.32,20220309,12.14,200,4609.6,30.26%,30,Rank 0.37%,"Rank 0.37%, Score 0.0540, BEAR",BEAR trailing stop (10.7%),BEAR trailing stop (10.7%),BEAR,csi500
688599,天合光能,电气设备,20220216,59.05,20220311,71.3,300,3705.5,20.75%,23,Rank 0.37%,"Rank 0.37%, Score 0.0476, BEAR",BEAR trailing stop (10.7%),BEAR trailing stop (10.7%),BEAR,csi500
603826,坤彩科技,染料涂料,20220228,52.62,20220315,51.6,200,-286.8,-1.94%,15,Rank 0.37%,"Rank 0.37%, Score 0.0371, BEAR",BEAR rank exit (25.7%),BEAR rank exit (25.7%),BEAR,csi500
300679,电连技术,元器件,20220308,36.85,20220315,33.1,100,-1368.5,-10.18%,7,Rank 0.74%,"Rank 0.74%, Score 0.0443, BEAR",BEAR Hard stop (-10.2%),BEAR Hard stop (-10.2%),BEAR,csi500
002444,巨星科技,轻工机械,20220307,17.85,20220316,15.93,200,-1703.6,-10.76%,9,Rank 0.37%,"Rank 0.37%, Score 0.0388, BEAR",BEAR Hard stop (-10.8%),BEAR Hard stop (-10.8%),BEAR,csi500
688266,泽璟制药-U,生物制药,20220308,38.2,20220318,37.45,500,-399.3,-1.96%,10,Rank 1.11%,"Rank 1.11%, Score 0.0379, BEAR",BEAR rank exit (37.8%),BEAR rank exit (37.8%),BEAR,csi500
600056,中国医药,医药商业,20220309,15.18,20220324,31.8,100,16087.9,109.49%,15,Rank 0.37%,"Rank 0.37%, Score 0.0644, BEAR",BEAR trailing stop (14.1%),BEAR trailing stop (14.1%),BEAR,csi500
601666,平煤股份,煤炭开采,20220315,13.03,20220324,14.41,500,1938.4,10.59%,9,Rank 0.37%,"Rank 0.37%, Score 0.0640, BEAR",BEAR rank exit (24.0%),BEAR rank exit (24.0%),BEAR,csi500
600546,山煤国际,煤炭开采,20220315,12.19,20220328,13.61,200,2305.1,11.65%,13,Rank 0.74%,"Rank 0.74%, Score 0.0516, BEAR",BEAR rank exit (81.0%),BEAR rank exit (81.0%),BEAR,csi500
002531,天顺风能,电气设备,20220318,15.25,20220328,13.56,100,-1393.9,-11.08%,10,Rank 0.55%,"Rank 0.55%, Score 0.0440, BEAR",BEAR Hard stop (-11.1%),BEAR Hard stop (-11.1%),BEAR,csi500
300679,电连技术,元器件,20220316,32.37,20220330,31.3,100,-400.7,-3.31%,14,Rank 0.55%,"Rank 0.55%, Score 0.0557, BEAR",BEAR trailing stop (10.1%),BEAR trailing stop (10.1%),BEAR,csi500
601233,桐昆股份,化纤,20220324,17.7,20220401,17.33,300,-366.2,-2.09%,8,Rank 0.18%,"Rank 0.18%, Score 0.0266, BEAR",BEAR rank exit (82.1%),BEAR rank exit (82.1%),BEAR,csi500
601966,玲珑轮胎,汽车配件,20220324,23.18,20220401,21.9,800,-1126.3,-5.52%,8,Rank 0.37%,"Rank 0.37%, Score 0.0246, BEAR",BEAR rank exit (54.5%),BEAR rank exit (54.5%),BEAR,csi500
688065,凯赛生物,化工原料,20220311,110.47,20220406,110.15,100,-46.7,-0.29%,26,Rank 0.55%,"Rank 0.55%, Score 0.0536, BEAR",BEAR rank exit (24.9%),BEAR rank exit (24.9%),BEAR,csi500
601567,三星医疗,电气设备,20220328,9.99,20220406,10.77,400,1569.1,7.81%,9,Rank 0.18%,"Rank 0.18%, Score 0.0439, BEAR",BEAR rank exit (30.3%),BEAR rank exit (30.3%),BEAR,csi500
002487,大金重工,电气设备,20220401,30.9,20220408,27.79,100,-1453.2,-10.06%,7,Rank 0.37%,"Rank 0.37%, Score 0.0356, BEAR",BEAR Hard stop (-10.1%),BEAR Hard stop (-10.1%),BEAR,csi500
688002,睿创微纳,通信设备,20220328,45.97,20220412,39.5,400,-2616.4,-14.07%,15,Rank 0.36%,"Rank 0.36%, Score 0.0420, BEAR",BEAR Hard stop (-14.1%),BEAR Hard stop (-14.1%),BEAR,csi500
002531,天顺风能,电气设备,20220330,13.8,20220412,12.23,100,-1294.6,-11.38%,13,Rank 0.36%,"Rank 0.36%, Score 0.0452, BEAR",BEAR Hard stop (-11.4%),BEAR Hard stop (-11.4%),BEAR,csi500
600859,王府井,百货,20220401,20.4,20220413,22.0,200,1440.3,7.84%,12,Rank 0.55%,"Rank 0.55%, Score 0.0338, BEAR",BEAR rank exit (88.3%),BEAR rank exit (88.3%),BEAR,csi500
300118,东方日升,电气设备,20220406,22.79,20220413,20.61,200,-1509.0,-9.57%,7,Rank 0.55%,"Rank 0.55%, Score 0.0241, BEAR",BEAR trailing stop (10.2%),BEAR trailing stop (10.2%),BEAR,csi500
600348,华阳股份,煤炭开采,20220406,12.16,20220414,12.81,100,599.0,5.35%,8,Rank 0.73%,"Rank 0.73%, Score 0.0237, BEAR",BEAR rank exit (27.6%),BEAR rank exit (27.6%),BEAR,csi500
300474,景嘉微,元器件,20220408,91.5,20220419,88.71,100,-588.0,-3.05%,11,Rank 0.55%,"Rank 0.55%, Score 0.0392, BEAR",BEAR rank exit (20.4%),BEAR rank exit (20.4%),BEAR,csi500
603179,新泉股份,汽车配件,20220413,26.74,20220421,29.0,400,1728.9,8.45%,8,Rank 0.36%,"Rank 0.36%, Score 0.0525, BEAR",BEAR rank exit (55.8%),BEAR rank exit (55.8%),BEAR,csi500
002335,科华数据,电气设备,20220412,22.33,20220422,19.74,100,-1532.3,-11.60%,10,Rank 0.91%,"Rank 0.91%, Score 0.0446, BEAR",BEAR Hard stop (-11.6%),BEAR Hard stop (-11.6%),BEAR,csi500
300212,易华录,软件服务,20220412,18.29,20220422,16.93,100,-1181.8,-7.44%,10,Rank 1.10%,"Rank 1.10%, Score 0.0446, BEAR",BEAR trailing stop (10.6%),BEAR trailing stop (10.6%),BEAR,csi500
300724,捷佳伟创,专用机械,20220413,62.09,20220425,53.18,300,-2720.7,-14.35%,12,Rank 0.55%,"Rank 0.55%, Score 0.0481, BEAR",BEAR Hard stop (-14.4%),BEAR Hard stop (-14.4%),BEAR,csi500
002402,和而泰,元器件,20220414,14.9,20220425,13.84,100,-1308.6,-7.11%,11,Rank 0.55%,"Rank 0.55%, Score 0.0497, BEAR",BEAR trailing stop (11.6%),BEAR trailing stop (11.6%),BEAR,csi500
002603,以岭药业,中成药,20220419,29.15,20220425,27.27,100,-757.9,-6.45%,6,Rank 0.18%,"Rank 0.18%, Score 0.0870, BEAR",BEAR trailing stop (12.0%),BEAR trailing stop (12.0%),BEAR,csi500
000537,绿发电力,新型电力,20220421,12.79,20220426,10.65,200,-2805.2,-16.73%,5,Rank 0.36%,"Rank 0.36%, Score 0.0539, BEAR",BEAR Hard stop (-16.7%),BEAR Hard stop (-16.7%),BEAR,csi500
688390,固德威,电气设备,20220425,198.33,20220426,168.3,100,-3040.0,-15.14%,1,Rank 0.18%,"Rank 0.18%, Score 0.0933, BEAR",BEAR Hard stop (-15.1%),BEAR Hard stop (-15.1%),BEAR,csi500
002487,大金重工,电气设备,20220422,22.92,20220427,19.8,100,-1453.0,-13.61%,5,Rank 0.36%,"Rank 0.36%, Score 0.0655, BEAR",BEAR Hard stop (-13.6%),BEAR Hard stop (-13.6%),BEAR,csi500
002335,科华数据,电气设备,20220422,19.74,20220427,16.54,100,-1887.2,-16.21%,5,Rank 0.91%,"Rank 0.91%, Score 0.0534, BEAR",BEAR Hard stop (-16.2%),BEAR Hard stop (-16.2%),BEAR,csi500
600056,中国医药,医药商业,20220425,20.57,20220505,20.8,100,197.0,1.12%,10,Rank 0.55%,"Rank 0.55%, Score 0.0633, BEAR",BEAR rank exit (95.3%),BEAR rank exit (95.3%),BEAR,csi500
002240,盛新锂能,小金属,20220425,38.26,20220505,43.32,300,2427.3,13.23%,10,Rank 0.73%,"Rank 0.73%, Score 0.0595, BEAR",BEAR rank exit (71.9%),BEAR rank exit (71.9%),BEAR,csi500
603920,世运电路,元器件,20220427,11.95,20220506,14.0,1100,3292.1,17.15%,9,Rank 0.73%,"Rank 0.73%, Score 0.0904, BEAR",BEAR rank exit (28.6%),BEAR rank exit (28.6%),BEAR,csi500
000537,绿发电力,新型电力,20220426,10.65,20220512,11.35,200,892.5,6.57%,16,Rank 0.36%,"Rank 0.36%, Score 0.0918, BEAR",BEAR rank exit (33.9%),BEAR rank exit (33.9%),BEAR,csi500
300339,润和软件,软件服务,20220506,13.92,20220523,15.4,200,1846.6,10.63%,17,Rank 0.18%,"Rank 0.18%, Score 0.0594, BEAR",BEAR rank exit (23.1%),BEAR rank exit (23.1%),BEAR,csi500
300757,罗博特科,专用机械,20220505,31.9,20220601,34.33,400,1253.8,7.62%,27,Rank 1.46%,"Rank 1.46%, Score 0.0494, BEAR",BEAR rank exit (20.1%),BEAR rank exit (20.1%),BEAR,csi500
300140,节能环境,环境保护,20220512,5.4,20220608,7.86,900,9229.3,45.56%,27,Rank 0.18%,"Rank 0.18%, Score 0.0582, BEAR",BEAR trailing stop (14.6%),BEAR trailing stop (14.6%),BEAR,csi500
002603,以岭药业,中成药,20220523,23.15,20220608,22.99,200,-150.3,-0.69%,16,Rank 0.18%,"Rank 0.18%, Score 0.0385, BEAR",BEAR rank exit (83.9%),BEAR rank exit (83.9%),BEAR,csi500
600056,中国医药,医药商业,20220601,20.43,20220610,20.8,100,332.8,1.81%,9,Rank 0.36%,"Rank 0.36%, Score 0.0244, BEAR",BEAR rank exit (83.1%),BEAR rank exit (83.1%),BEAR,csi500
300140,节能环境,环境保护,20220608,7.86,20220610,7.08,700,-2312.5,-9.92%,2,Rank 0.18%,"Rank 0.18%, Score 0.0285, BEAR",BEAR trailing stop (10.4%),BEAR trailing stop (10.4%),BEAR,csi500
603233,大参林,医药商业,20220608,33.36,20220627,30.5,300,2180.8,11.35%,19,Rank 0.36%,"Rank 0.36%, Score 0.0276, BEAR",BULL rank exit (82.1%),BULL rank exit (82.1%),BULL,csi500
688248,南网科技,电气设备,20220616,23.58,20220705,24.5,100,88.8,3.90%,19,Rank 0.54%,"Rank 0.54%, Score 0.0346, BULL",BULL rank exit (85.7%),BULL rank exit (85.7%),BULL,csi500
300570,太辰光,通信设备,20220617,15.32,20220705,14.75,100,-116.6,-3.72%,18,Rank 2.72%,"Rank 2.72%, Score 0.0230, BULL",BULL rank exit (45.3%),BULL rank exit (45.3%),BULL,csi500
603379,三美股份,化工原料,20220616,22.83,20220708,24.27,100,203.2,6.31%,22,Rank 2.00%,"Rank 2.00%, Score 0.0261, BULL",BULL rank exit (38.9%),BULL rank exit (38.9%),BULL,csi500
600685,中船防务,船舶,20220620,16.8,20220708,16.54,100,-57.3,-1.55%,18,Rank 2.54%,"Rank 2.54%, Score 0.0167, BULL",BULL rank exit (69.2%),BULL rank exit (69.2%),BULL,csi500
002939,长城证券,证券,20220621,10.02,20220711,9.66,300,-117.5,-3.59%,20,Rank 1.99%,"Rank 1.99%, Score 0.0232, BULL",BULL rank exit (84.5%),BULL rank exit (84.5%),BULL,csi500
