代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
601865,福莱特,玻璃,20250408,15.56,20250414,15.89,300,93.4,2.13%,6,Rank 2.83%,"Rank 2.83%, Score 0.0572, BULL",BEAR rank exit (41.5%),BEAR rank exit (41.5%),BEAR,csi300
002129,TCL中环,电气设备,20250408,7.74,20250414,7.88,600,77.9,1.81%,6,Rank 3.46%,"Rank 3.46%, Score 0.0517, BULL",BEAR rank exit (22.0%),BEAR rank exit (22.0%),BEAR,csi300
000977,浪潮信息,IT设备,20250408,44.67,20250414,48.26,100,353.0,8.04%,6,Rank 3.77%,"Rank 3.77%, Score 0.0512, BULL",BEAR rank exit (96.9%),BEAR rank exit (96.9%),BEAR,csi300
603659,璞泰来,化工原料,20250408,15.85,20250414,16.82,200,189.6,6.12%,6,Rank 4.72%,"Rank 4.72%, Score 0.0496, BULL",BEAR rank exit (68.2%),BEAR rank exit (68.2%),BEAR,csi300
601456,国联民生,证券,20250409,9.71,20250414,9.83,600,64.3,1.24%,5,Rank 4.72%,"Rank 4.72%, Score 0.0441, BULL",BEAR rank exit (24.8%),BEAR rank exit (24.8%),BEAR,csi300
000975,山金国际,黄金,20250326,18.12,20250415,21.29,200,628.5,17.49%,20,Rank 3.49%,"Rank 3.49%, Score 0.0164, BULL",BEAR rank exit (42.8%),BEAR rank exit (42.8%),BEAR,csi300
600346,恒力石化,石油加工,20250407,14.8,20250415,15.1,200,56.1,2.03%,8,Rank 3.77%,"Rank 3.77%, Score 0.0483, BULL",BEAR rank exit (23.9%),BEAR rank exit (23.9%),BEAR,csi300
300316,晶盛机电,专用机械,20250407,27.8,20250415,29.37,100,153.2,5.65%,8,Rank 4.09%,"Rank 4.09%, Score 0.0454, BULL",BEAR rank exit (69.5%),BEAR rank exit (69.5%),BEAR,csi300
300866,安克创新,元器件,20250409,74.42,20250415,79.87,100,534.6,7.32%,6,Rank 1.89%,"Rank 1.89%, Score 0.0695, BULL",BEAR rank exit (47.2%),BEAR rank exit (47.2%),BEAR,csi300
000100,TCL科技,元器件,20250410,4.02,20250415,4.02,2500,-13.1,0.00%,5,Rank 1.26%,"Rank 1.26%, Score 0.0679, BULL",BEAR rank exit (22.0%),BEAR rank exit (22.0%),BEAR,csi300
000725,京东方Ａ,元器件,20250410,3.79,20250415,3.78,2000,-29.8,-0.26%,5,Rank 2.52%,"Rank 2.52%, Score 0.0434, BULL",BEAR rank exit (23.0%),BEAR rank exit (23.0%),BEAR,csi300
001289,龙源电力,新型电力,20250218,16.45,20250418,16.38,1200,-109.6,-0.43%,59,Rank 0.32%,"Rank 0.32%, Score 0.1236, BEAR",BEAR trailing stop (9.5%),BEAR trailing stop (9.5%),BEAR,csi300
