代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
688525,佰维存储,半导体,20240103,48.49,20240108,43.0,400,-2218.4,-11.32%,5,Rank 0.51%,"Rank 0.51%, Score 0.0308, BEAR",BEAR Hard stop (-11.3%),BEAR Hard stop (-11.3%),BEAR,csi500
002517,恺英网络,互联网,20240103,10.93,20240111,9.99,200,-1197.5,-8.60%,8,Rank 1.02%,"Rank 1.02%, Score 0.0226, BEAR",BEAR trailing stop (10.8%),BEAR trailing stop (10.8%),BEAR,csi500
600373,中文传媒,出版业,20240103,12.91,20240111,12.72,200,-214.1,-1.47%,8,Rank 1.19%,"Rank 1.19%, Score 0.0223, BEAR",BEAR rank exit (51.7%),BEAR rank exit (51.7%),BEAR,csi500
688629,华丰科技,元器件,20240103,21.35,20240112,20.12,900,-1130.5,-5.76%,9,Rank 0.85%,"Rank 0.85%, Score 0.0264, BEAR",BEAR rank exit (91.7%),BEAR rank exit (91.7%),BEAR,csi500
001696,宗申动力,摩托车,20240103,6.78,20240118,6.24,100,-1515.9,-7.96%,15,Rank 0.34%,"Rank 0.34%, Score 0.0419, BEAR",BEAR rank exit (24.7%),BEAR rank exit (24.7%),BEAR,csi500
688525,佰维存储,半导体,20240108,43.0,20240118,37.75,400,-2119.6,-12.21%,10,Rank 0.34%,"Rank 0.34%, Score 0.0516, BEAR",BEAR Hard stop (-12.2%),BEAR Hard stop (-12.2%),BEAR,csi500
002130,沃尔核材,电气设备,20240103,7.73,20240119,6.85,100,-1841.6,-11.38%,16,Rank 0.17%,"Rank 0.17%, Score 0.0854, BEAR",BEAR Hard stop (-11.4%),BEAR Hard stop (-11.4%),BEAR,csi500
002085,万丰奥威,汽车配件,20240111,4.7,20240123,4.89,500,737.8,4.04%,12,Rank 0.34%,"Rank 0.34%, Score 0.0359, BEAR",BEAR trailing stop (13.6%),BEAR trailing stop (13.6%),BEAR,csi500
300803,指南针,软件服务,20240112,47.5,20240123,42.4,400,-2068.2,-10.74%,11,Rank 0.51%,"Rank 0.51%, Score 0.0455, BEAR",BEAR Hard stop (-10.7%),BEAR Hard stop (-10.7%),BEAR,csi500
002156,通富微电,半导体,20240111,20.65,20240129,19.45,300,-1033.3,-5.81%,18,Rank 0.17%,"Rank 0.17%, Score 0.0439, BEAR",BEAR trailing stop (13.2%),BEAR trailing stop (13.2%),BEAR,csi500
300735,光弘科技,元器件,20240119,19.1,20240129,17.68,500,-1442.3,-7.43%,10,Rank 0.51%,"Rank 0.51%, Score 0.0298, BEAR",BEAR rank exit (87.8%),BEAR rank exit (87.8%),BEAR,csi500
688525,佰维存储,半导体,20240118,37.75,20240130,33.45,500,-2171.7,-11.39%,12,Rank 0.34%,"Rank 0.34%, Score 0.0534, BEAR",BEAR Hard stop (-11.4%),BEAR Hard stop (-11.4%),BEAR,csi500
688122,西部超导,小金属,20240118,38.78,20240130,37.88,300,-414.3,-2.32%,12,Rank 0.51%,"Rank 0.51%, Score 0.0344, BEAR",BEAR rank exit (30.6%),BEAR rank exit (30.6%),BEAR,csi500
600171,上海贝岭,半导体,20240123,11.41,20240201,11.8,500,530.3,3.42%,9,Rank 0.85%,"Rank 0.85%, Score 0.0515, BEAR",BEAR trailing stop (15.7%),BEAR trailing stop (15.7%),BEAR,csi500
002085,万丰奥威,汽车配件,20240123,4.89,20240201,5.15,400,814.1,5.32%,9,Rank 1.02%,"Rank 1.02%, Score 0.0496, BEAR",BEAR trailing stop (10.1%),BEAR trailing stop (10.1%),BEAR,csi500
688331,荣昌生物,生物制药,20240129,43.4,20240201,37.84,400,-2243.7,-12.81%,3,Rank 0.17%,"Rank 0.17%, Score 0.0441, BEAR",BEAR Hard stop (-12.8%),BEAR Hard stop (-12.8%),BEAR,csi500
688183,生益电子,元器件,20240129,8.73,20240201,7.56,2000,-2494.2,-13.40%,3,Rank 0.51%,"Rank 0.51%, Score 0.0329, BEAR",BEAR Hard stop (-13.4%),BEAR Hard stop (-13.4%),BEAR,csi500
002837,英维克,专用机械,20240130,21.9,20240201,19.2,100,-1776.1,-12.33%,2,Rank 0.17%,"Rank 0.17%, Score 0.0515, BEAR",BEAR Hard stop (-12.3%),BEAR Hard stop (-12.3%),BEAR,csi500
300757,罗博特科,专用机械,20240201,49.42,20240206,42.14,200,-1930.5,-14.73%,5,Rank 0.17%,"Rank 0.17%, Score 0.1056, BEAR",BEAR Hard stop (-14.7%),BEAR Hard stop (-14.7%),BEAR,csi500
300432,富临精工,汽车配件,20240201,7.0,20240206,5.67,300,-3266.3,-19.00%,5,Rank 0.51%,"Rank 0.51%, Score 0.0809, BEAR",BEAR Hard stop (-19.0%),BEAR Hard stop (-19.0%),BEAR,csi500
301165,锐捷网络,通信设备,20240201,29.1,20240206,25.48,600,-2222.6,-12.44%,5,Rank 1.02%,"Rank 1.02%, Score 0.0722, BEAR",BEAR Hard stop (-12.4%),BEAR Hard stop (-12.4%),BEAR,csi500
688192,迪哲医药-U,生物制药,20240201,32.8,20240206,26.76,500,-3037.4,-18.41%,5,Rank 1.19%,"Rank 1.19%, Score 0.0700, BEAR",BEAR Hard stop (-18.4%),BEAR Hard stop (-18.4%),BEAR,csi500
002156,通富微电,半导体,20240130,18.1,20240207,19.82,300,1428.7,9.50%,8,Rank 0.34%,"Rank 0.34%, Score 0.0451, BEAR",BEAR rank exit (24.7%),BEAR rank exit (24.7%),BEAR,csi500
688521,芯原股份,半导体,20240201,34.56,20240220,38.7,500,2044.8,11.98%,19,Rank 1.36%,"Rank 1.36%, Score 0.0700, BEAR",BEAR rank exit (31.5%),BEAR rank exit (31.5%),BEAR,csi500
688702,盛科通信-U,半导体,20240207,29.86,20240229,37.01,500,3550.9,23.95%,22,Rank 2.04%,"Rank 2.04%, Score 0.0758, BEAR",BEAR trailing stop (10.6%),BEAR trailing stop (10.6%),BEAR,csi500
300100,双林股份,汽车配件,20240220,6.72,20240229,7.6,700,2190.3,13.10%,9,Rank 0.34%,"Rank 0.34%, Score 0.1007, BEAR",BEAR trailing stop (13.3%),BEAR trailing stop (13.3%),BEAR,csi500
688172,燕东微,半导体,20240301,15.81,20240319,16.51,100,67.9,4.43%,18,Rank 2.89%,"Rank 2.89%, Score 0.0211, BULL",BULL rank exit (39.6%),BULL rank exit (39.6%),BULL,csi500
603920,世运电路,元器件,20240304,18.6,20240322,18.97,100,54.4,1.99%,18,Rank 3.74%,"Rank 3.74%, Score 0.0112, BULL",BULL rank exit (59.4%),BULL rank exit (59.4%),BULL,csi500
002607,中公教育,文教休闲,20240306,3.08,20240325,3.18,100,79.0,3.25%,19,Rank 2.21%,"Rank 2.21%, Score 0.0263, BULL",BULL rank exit (37.8%),BULL rank exit (37.8%),BULL,csi500
688567,孚能科技,电气设备,20240306,12.72,20240325,12.32,200,-83.2,-3.14%,19,Rank 4.76%,"Rank 4.76%, Score 0.0161, BULL",BULL rank exit (61.6%),BULL rank exit (61.6%),BULL,csi500
688772,珠海冠宇,电气设备,20240304,14.92,20240326,13.19,200,-353.6,-11.60%,22,Rank 4.42%,"Rank 4.42%, Score 0.0107, BULL",BULL Hard stop (-11.6%),BULL Hard stop (-11.6%),BULL,csi500
688180,君实生物-U,生物制药,20240312,30.03,20240327,26.69,100,-337.5,-11.12%,15,Rank 4.77%,"Rank 4.77%, Score 0.0284, BULL",BULL Hard stop (-11.1%),BULL Hard stop (-11.1%),BULL,csi500
688629,华丰科技,元器件,20240301,22.49,20240328,25.55,100,302.7,13.61%,27,Rank 1.02%,"Rank 1.02%, Score 0.0392, BULL",BULL trailing stop (20.3%),BULL trailing stop (20.3%),BULL,csi500
688005,容百科技,电气设备,20240305,30.42,20240328,27.24,100,-324.8,-10.45%,23,Rank 4.76%,"Rank 4.76%, Score 0.0098, BULL",BULL Hard stop (-10.5%),BULL Hard stop (-10.5%),BULL,csi500
